SerialNumber,9d83e7a2726d30f13f713d5a8d5b1b9107a13e71
TotalPlayTime,2537.07
TotalDeathCount,0
TotalKilledEnemies,197
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",89.19,97,0,0.00,27.28,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,20,19,0,9,0,""
"C1_Stage2_1","",46.13,39,0,696.00,16.67,41.7600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,25,5,0,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",118.30,35,2,310.60,11.60,26.7759,15,0,1.50,10.42,0.1440,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,8,5,1,3,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_3","",55.83,48,3,992.70,17.05,58.2225,6,0,9.00,2.67,3.3749,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,15,6,0,5,0,""
"C1_Stage2_4","",12.77,15,1,333.40,5.95,56.0341,2,0,3.00,0.85,3.5295,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,8,4,2,4,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",33.57,39,0,710.00,17.30,41.0404,6,2,36.00,1.88,19.1148,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,20,9,5,8,0,"FallDamageArea (1)-:10"
"C1_Stage2_6","",62.40,78,2,1431.40,32.58,43.9303,12,1,89.00,3.82,23.3189,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",10.00,34,13,7,10,0,"Hinge-Hitbox:10"
"C1_Stage2_7","",26.58,28,1,422.30,10.43,40.4755,2,0,3.00,1.88,1.5929,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,16,4,2,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_8","",40.37,64,0,1154.80,22.63,51.0218,2,1,4.40,0.88,4.9813,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,25,7,2,4,0,""
"C1_Stage2_9","",67.53,10,4,1500.00,9.40,159.5741,19,0,133.50,13.65,9.7801,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,18,8,0,3,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
