SerialNumber,f23f4522346a3763105d5c2838219adc12ff300e
TotalPlayTime,3150.19
TotalDeathCount,3
TotalKilledEnemies,106
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",66.47,19,1,86.00,8.37,10.2790,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,2,0,0,0,0,""
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",54.12,46,0,529.00,21.10,25.0710,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,16,1,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",69.45,28,0,311.00,14.02,22.1879,10,0,6.00,7.70,0.7792,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,14,0,0,2,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",25.22,35,0,508.00,13.73,36.9903,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,0,1,1,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",106.75,34,0,504.00,13.78,36.5659,11,0,44.00,6.23,7.0588,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,13,0,0,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",21.32,21,0,320.00,9.05,35.3589,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,9,0,0,0,0,"C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",1436.09,1005,114,2069.91,493.88,4.1911,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",180.00,188,0,0,25,2,"C1Boss-CounterAttackHitbox:40;C1Boss-MeleeAttack2Hitbox :30;C1Boss-MeleeAttack3Hitbox:10;C1Boss-MeleeAttack1Hitbox:70;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-FlameThrowerStartHitbox:10;C1Boss-DashAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",47.52,31,0,201.00,15.52,12.9476,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,18,4,0,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",71.35,64,4,684.00,29.25,23.3850,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,18,2,2,1,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2BombMobPrefab (3)-ExplosionHitBox:20"
"C2_Boss_3","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,ReviveOnce",36.25,10,1,207.00,5.85,35.3870,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,9,0,0,""
