SerialNumber,af49ce6ec59493d2b35331a796f18b0dd92f6263
TotalPlayTime,25160.00
TotalDeathCount,28
TotalKilledEnemies,130
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",118.82,32,2,80.00,15.92,5.0262,1,0,0.00,0.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,0,0,9,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",96.20,44,1,529.00,18.65,28.3645,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,8,5,0,1,0,"C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",146.18,19,0,111.00,7.80,14.2307,33,0,197.00,31.63,6.2276,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,9,3,0,1,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",36.05,37,1,474.00,16.55,28.6406,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,4,2,1,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",227.23,27,0,380.00,11.40,33.3334,113,0,826.50,80.85,10.2226,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff}",180.00,28,5,0,8,2,"C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:40;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:40"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",25.68,11,1,340.00,5.73,59.3017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,3,0,0,0,0,"C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",22398.12,182,23,691.50,88.34,7.8279,367,63,4994.89,358.86,13.9188,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Shotgun,to:Staff}",920.00,5,1,60,1,11,"C1Boss-DashAttackHitbox:220;C1Boss-MeleeAttack1Hitbox:120;C1Boss-MeleeAttack3Hitbox:70;C1CannonExplode(Clone)-C1CannonExplode(Clone):60;C1Boss-CounterAttackHitbox:180;C1Boss-FlameThrowerStartHitbox:100;C1Boss-FlameThrowerMainHitbox:30;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:80;C1TonpaMobPrefab(Clone)-AttackHitbox:40;C1Boss-MeleeAttack2Hitbox :20"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",73.12,55,0,201.00,23.98,8.3825,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,5,4,11,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:40;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",162.18,72,5,800.00,37.24,21.4799,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,13,0,18,0,1,"C2GunnerMobPrefab-RangedAttackHitbox:50;C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:20;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoreGearIncreaseOnAttack",64.79,23,1,154.00,11.43,13.4691,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,5,0,0,"C2EliteMobPrefab-RushAttackHitBox:10"
