SerialNumber,db1f20244e2ff10dc89ec2984df487233a8a70e9
TotalPlayTime,3295.71
TotalDeathCount,24
TotalKilledEnemies,156
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",111.82,16,1,88.00,7.92,11.1158,5,1,0.00,5.12,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,2,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",95.83,51,2,537.00,22.08,24.3170,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,3,1,0,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",125.32,37,0,202.00,16.53,12.2177,31,0,132.00,24.38,5.4135,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",90.00,9,0,0,0,1,"C1SandMecha-MeleeHitbox:50;C1SandMecha-DashAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:20"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",45.60,44,0,536.00,17.77,30.1691,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,7,0,1,0,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",212.32,103,1,1236.00,42.30,29.2198,62,0,282.00,49.40,5.7085,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",160.00,23,0,0,1,2,"C1TonpaMobPrefab (8)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:20;C1SandMecha (1)-MeleeHitbox:40;C1SandMecha-MeleeHitbox:50;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",25.80,28,0,326.00,11.07,29.4577,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,5,0,0,2,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,MoreGearIncreaseOnAttack,ReviveOnce",740.85,71,2,214.70,31.92,6.7269,272,34,1979.20,198.07,9.9926,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun}",550.00,35,2,21,6,6,"C1Boss-DashAttackHitbox:170;C1Boss-CounterAttackHitbox:100;C1CannonExplode(Clone)-C1CannonExplode(Clone):100;C1Boss-FlameThrowerStartHitbox:50;C1Boss-MeleeAttack1Hitbox:40;C1Boss-FlameThrowerMainHitbox:40;C1Boss-MeleeAttack3Hitbox:20;C1Boss-MeleeAttack2Hitbox :10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-FlameThrowerMiddleHitbox:10"
"C2_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",56.55,12,0,26.00,5.38,4.8341,15,1,148.72,16.83,8.8347,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,7,2,0,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",547.28,229,14,1857.00,117.32,15.8290,77,0,325.00,63.65,5.1061,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff}",300.00,92,23,47,8,3,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:50;C2GunnerMobPrefab-RangedAttackHitbox:50;C2ShieldMobPrefab-ShieldAttackHitbox:90;C2GunnerMobPrefab (1)-RangedAttackHitbox:20;C2ShieldMobPrefab (1)-ShieldAttackHitbox:30;C2EliteMobPrefab-JumpAttackHitBox:60"
"C2_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",75.18,28,1,177.00,12.73,13.9005,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,4,2,6,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20"
