SerialNumber,2ea97a44d7984a9d1254ce7a1f5c05b2629fe8bc
TotalPlayTime,1362.31
TotalDeathCount,9
TotalKilledEnemies,123
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",55.05,20,1,93.00,10.57,8.8013,4,0,0.00,1.78,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,11,0,0,1,0,""
"C1_Boss_2","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",44.98,13,2,395.00,9.05,43.6465,11,0,165.00,8.45,19.5267,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,14,2,0,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_3","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",50.20,7,2,222.00,5.62,39.5256,14,0,126.00,9.85,12.7919,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,11,0,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",22.73,20,2,532.00,10.83,49.1078,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,10,0,4,0,0,""
"C1_Boss_5","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",58.23,26,2,529.00,12.57,42.0957,12,2,71.87,8.45,8.5059,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,16,0,1,3,0,""
"C1_Boss_6","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",16.92,16,1,339.00,7.75,43.7419,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,0,2,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_7","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",149.02,41,7,579.80,21.88,26.4952,19,3,238.69,14.73,16.2006,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,18,0,4,3,0,"C1Boss-CounterAttackHitbox:10"
"C2_Boss_1","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",46.73,26,2,209.00,13.86,15.0844,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,14,1,7,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_2","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",215.48,83,20,1773.00,59.38,29.8569,20,3,373.75,17.58,21.2559,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff}",150.00,48,4,45,2,3,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:30;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2EliteMobPrefab-RushAttackHitBox:20;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:30;C2GunnerMobPrefab (2)-RangedAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_3","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",51.58,6,1,70.00,4.45,15.7301,5,0,90.00,2.28,39.4162,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,1,5,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_4","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",11.49,8,1,244.00,4.30,56.7435,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,1,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_5","IncreaseGearLevelOnHit,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess,ExtraDash1,BaseMoveSpeedBuff",375.22,73,20,1100.63,44.93,24.4948,109,23,1080.99,85.50,12.6431,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Shotgun};{order:20,from:Shotgun,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Shotgun};{order:27,from:Shotgun,to:Shotgun};{order:28,from:Shotgun,to:Staff};{order:29,from:Staff,to:Shotgun};{order:30,from:Shotgun,to:Staff};{order:31,from:Staff,to:Shotgun};{order:32,from:Shotgun,to:Staff};{order:33,from:Staff,to:Shotgun};{order:34,from:Shotgun,to:Staff}",270.00,76,0,13,12,6,"C2Boss-Kickshot-Kick:100;FX_Explosion-Hitbox:30;C2Boss-Drillshot-Swing:50;C2Boss-Jumpshot:50;C2Boss-Lineshot:30;C2Boss-Drillshot-Gun1:10"
