SerialNumber,cf2f3f22b9c0ee49ee1eb02b91c073f5b68feb4c
TotalPlayTime,1161.84
TotalDeathCount,3
TotalKilledEnemies,91
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",59.05,16,1,88.00,7.58,11.6044,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,6,0,2,1,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",42.60,33,1,537.00,13.95,38.4947,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,1,0,5,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",71.88,20,1,131.80,7.75,17.0065,21,1,200.38,17.77,11.2781,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,10,0,1,2,0,"C1SandMecha-MeleeHitbox:30"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",30.32,39,0,499.00,16.18,30.8341,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,3,3,0,""
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",71.23,50,2,457.00,20.63,22.1486,13,1,87.50,8.43,10.3755,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,11,0,1,2,0,"C1SandMecha (1)-DashAttackHitbox:10;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",17.00,16,1,334.00,7.03,47.4884,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,1,2,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",126.42,30,6,703.00,17.87,39.3469,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,1,0,0,"C1Boss-DashAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",47.65,31,1,194.00,15.54,12.4854,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,3,1,1,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",144.98,46,4,490.00,26.47,18.5138,3,1,148.75,2.50,59.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,11,0,36,0,0,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:20;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",48.20,9,1,150.00,5.02,29.9000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,5,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",16.10,10,1,228.00,5.48,41.5810,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,0,0,0,0,"C2EliteMobPrefab (1)-RushAttackHitBox:10"
"C2_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",270.39,97,16,1278.50,60.52,21.1265,7,1,111.88,5.18,21.5840,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",210.00,55,0,10,10,3,"C2Boss-Lineshot:60;C2Boss-Drillshot-Swing:40;C2Boss-Kickshot-Kick:40;C2Boss-Jumpshot:30;FX_Explosion-Hitbox:20;C2Boss-Kickshot-Gun:10;C2Boss-Drillshot-Gun1:10"
