SerialNumber,291aadd7b7e8adf1cf4385cafe54ed2305e9d366
TotalPlayTime,1642.08
TotalDeathCount,5
TotalKilledEnemies,131
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",113.98,41,1,84.00,20.58,4.0810,5,0,0.00,4.92,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,10,0,0,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",68.03,30,3,552.00,16.50,33.4545,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,8,1,1,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",158.57,21,2,254.00,11.80,21.5254,47,0,289.00,45.93,6.2917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",100.00,23,5,0,1,1,"C1SandMecha-MeleeHitbox:60;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",69.20,24,5,748.00,18.58,40.2512,6,0,120.00,3.28,36.5476,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,17,1,3,0,1,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;FallDamageArea-:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",92.90,17,1,382.00,8.88,43.0023,32,2,210.81,30.73,6.8594,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,20,2,0,3,0,"C1SandMecha-MeleeHitbox:30"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",23.77,2,0,20.00,1.37,14.6345,9,1,448.13,8.03,55.7837,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,4,0,0,0,0,"C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",304.71,9,1,11.60,5.33,2.1750,106,14,1289.61,109.22,11.8078,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",110.00,52,0,0,2,1,"C1Boss-DashAttackHitbox:40;C1Boss-MeleeAttack1Hitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:20;C1Boss-CounterAttackHitbox:10;C1Boss-FlameThrowerStartHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",47.38,25,1,188.00,15.23,12.3452,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,17,6,0,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",250.72,72,14,1155.00,55.13,20.9494,34,1,105.00,30.85,3.4035,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",150.00,81,22,6,6,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:40;C2ShieldMobPrefab-ShieldAttackHitbox:50;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2BombMobPrefab (3)-ExplosionHitBox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",68.13,23,3,155.00,13.72,11.3001,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,0,2,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:20"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",29.55,37,0,194.00,15.73,12.3307,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,7,0,0,0,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",108.69,62,9,500.25,34.23,14.6130,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,17,1,1,3,0,"C2Boss-Kickshot-Kick:10;C2Boss-Kickshot-Gun:20;C2Boss-Drillshot-Swing:10;FX_Explosion-Hitbox:10"
