SerialNumber,42adadbc2086521107a10796d23da4c06c36fbe8
TotalPlayTime,2200.10
TotalDeathCount,10
TotalKilledEnemies,108
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",149.57,27,1,0.00,13.73,0.0000,14,3,90.00,16.70,5.3892,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,7,0,8,0,0,""
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",179.62,9,1,101.00,5.58,18.0898,59,7,1022.50,62.12,16.4610,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",70.00,15,4,2,2,1,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:30;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",109.52,0,0,0.00,0.00,NaN,22,6,502.38,29.20,17.2047,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,7,0,0,1,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",59.85,0,0,0.00,0.00,NaN,23,2,568.13,27.22,20.8742,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,0,2,1,0,"C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",98.07,0,0,0.00,0.00,NaN,26,6,717.63,35.98,19.9433,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,0,0,0,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",30.50,0,0,0.00,0.00,NaN,14,1,398.49,14.65,27.2009,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,0,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",461.29,9,0,70.50,3.72,18.9686,94,24,1828.81,109.33,16.7269,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",200.00,13,0,11,1,3,"C1Boss-FlameThrowerMainHitbox:30;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-FlameThrowerStartHitbox:20;C1Boss-CounterAttackHitbox:40;C1Boss-DashAttackHitbox:30;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:40;C1Boss-MeleeAttack1Hitbox:10;C1Boss-MeleeAttack3Hitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",78.79,8,0,40.00,4.34,9.2268,30,0,150.00,26.33,5.6963,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",30.00,11,9,3,5,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",152.24,22,1,100.00,10.97,9.1187,41,6,868.13,40.17,21.6130,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",110.00,22,14,3,5,1,"C2BombMobPrefab (1)-ExplosionHitBox:20;C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:30;C2ShieldMobPrefab-ShieldAttackHitbox:30;C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",54.89,0,0,0.00,0.00,NaN,2,2,179.38,6.10,29.4053,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,2,0,0,""
"C2_Boss_4","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",13.35,0,0,0.00,0.00,NaN,3,1,268.75,6.03,44.5461,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,0,0,0,""
"C2_Boss_5","ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack,MoreGearOnDashSuccess",427.35,101,27,1666.20,87.15,19.1187,29,7,324.53,32.68,9.9295,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",330.00,25,0,93,7,5,"C2Boss-Lineshot:40;C2Boss-Drillshot-Gun1:10;C2Boss-Drillshot-Swing:90;C2Boss-Jumpshot:40;FX_Explosion-Hitbox:50;C2Boss-Kickshot-Kick:70;C2Boss-Kickshot-Gun:30"
