SerialNumber,7082e6a1d01e4a26f263f470ee7875d6d19060ea
TotalPlayTime,3141.02
TotalDeathCount,20
TotalKilledEnemies,107
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",89.73,4,0,0.00,2.60,0.0000,10,1,90.00,11.20,8.0357,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,2,0,4,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",94.21,38,2,518.00,21.32,24.3003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,16,3,6,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10"
"C1_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",86.76,29,0,220.00,14.23,15.4567,5,4,102.69,8.22,12.4975,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,6,0,0,1,0,"C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C1_Boss_4","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",75.44,7,3,319.00,6.63,48.0902,10,0,150.00,8.33,18.0002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",20.00,7,0,4,0,0,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Boss_5","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",94.03,14,1,266.40,7.02,37.9661,13,5,326.00,19.15,17.0235,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",10.00,4,0,2,0,0,"C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_6","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",22.39,3,2,320.00,4.02,79.6669,2,0,30.00,0.95,31.5785,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,2,0,5,0,0,"C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_7","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",1128.50,146,15,1501.40,76.13,19.7207,170,24,2420.14,173.83,13.9222,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun}",780.00,42,0,53,3,9,"C1CannonExplode(Clone)-C1CannonExplode(Clone):120;C1Boss-DashAttackHitbox:220;C1Boss-FlameThrowerStartHitbox:120;C1Boss-CounterAttackHitbox:140;C1Boss-MeleeAttack1Hitbox:70;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:20;C1Boss-FlameThrowerMainHitbox:20;C1Boss-MeleeAttack3Hitbox:50"
"C2_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",127.64,25,0,169.00,11.87,14.2326,20,3,40.00,22.20,1.8018,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",50.00,20,6,8,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",280.74,0,0,0.00,0.00,NaN,75,0,835.00,66.27,12.6004,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun}",190.00,39,15,41,3,2,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:20;C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2EliteMobPrefab-RushAttackHitBox:20;C2GunnerMobPrefab-RangedAttackHitbox:90;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-JumpAttackHitBox:10"
"C2_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",87.90,0,0,0.00,0.88,0.0000,17,0,150.00,15.57,9.6363,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",30.00,13,5,3,1,0,"C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_4","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",45.01,0,0,0.00,0.00,NaN,10,3,283.75,14.25,19.9119,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,8,1,1,1,0,"C2EliteMobPrefab-JumpAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2EliteMobPrefab (1)-JumpAttackHitBox:10"
"C2_Boss_5","MaxHPBuff,ShieldOnEvade,ReviveOnce,IncreaseGearLevelOnHit",674.31,171,31,2318.91,150.15,15.4442,10,0,67.50,10.38,6.5010,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Staff};{order:7,from:Staff,to:Staff}",750.00,99,7,66,14,9,"C2Boss-Lineshot:240;C2Boss-Jumpshot:110;C2Boss-Kickshot-Kick:170;C2Boss-Drillshot-Gun1:50;FX_Explosion-Hitbox:60;C2Boss-Kickshot-Gun:50;C2Boss-Drillshot-Swing:60;C2Boss-Drillshot-Gun2:10"
