SerialNumber,d7bcb3e1e17fc14cf42f70c774d048b6469069b3
TotalPlayTime,3992.15
TotalDeathCount,14
TotalKilledEnemies,120
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",90.97,16,1,82.00,9.02,9.0943,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,1,0,4,0,0,""
"C1_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",63.60,36,0,542.00,15.85,34.1952,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,6,1,10,0,0,"C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",77.38,8,0,58.00,3.88,14.9355,18,4,379.13,21.38,17.7300,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,7,0,6,0,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10"
"C1_Boss_4","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",54.65,17,0,168.00,8.03,20.9126,15,4,476.88,13.10,36.4027,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",40.00,6,0,4,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",232.25,52,1,772.18,45.75,16.8781,6,0,75.00,2.83,26.4719,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",50.00,15,0,22,0,1,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",24.38,0,0,0.00,0.00,NaN,4,2,508.75,7.60,66.9410,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,0,0,5,0,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",206.73,8,2,237.00,4.38,54.0688,40,5,586.50,40.82,14.3690,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",50.00,19,0,2,1,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-CounterAttackHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-DashAttackHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10"
"C2_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",90.27,0,0,0.00,0.27,0.0000,33,0,195.00,37.12,5.2536,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",30.00,11,1,11,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",497.60,21,5,577.13,20.03,28.8086,79,11,1275.00,102.97,12.3825,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",210.00,97,0,138,2,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:40;C2BombMobPrefab (2)-ExplosionHitBox:20;C2GunnerMobPrefab-RangedAttackHitbox:80;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:20;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10"
"C2_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoreGearIncreaseOnAttack",293.70,15,0,82.00,7.12,11.5222,5,0,90.00,3.25,27.6923,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,3,0,10,0,0,"C2EliteMobPrefab-RushAttackHitBox:10"
