SerialNumber,7082e6a1d01e4a26f263f470ee7875d6d19060ea
TotalPlayTime,3661.46
TotalDeathCount,28
TotalKilledEnemies,227
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",82.06,17,1,82.00,8.93,9.1791,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,1,0,1,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",73.14,46,0,515.00,21.02,24.5047,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,1,0,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20"
"C1_Boss_3","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",182.25,25,3,323.00,14.82,21.8005,52,0,294.00,47.55,6.1829,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",90.00,9,0,0,0,1,"C1SandMecha-MeleeHitbox:50;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_4","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",56.75,22,3,525.00,12.42,42.2824,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,2,0,4,0,0,"C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",282.99,32,2,521.80,15.50,33.6645,96,5,1426.13,79.55,17.9276,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",190.00,4,0,0,0,3,"C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:30;C1SandMecha (1)-MeleeHitbox:50;C1TonpaMobPrefab (4)-AttackHitbox:10;C1SandMecha-MeleeHitbox:50;C1TonpaMobPrefab (8)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_6","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",25.56,0,2,240.00,2.32,103.6088,0,1,178.75,1.52,117.8622,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,0,0,0,0,0,""
"C1_Boss_7","ShieldOnEvade,MaxHPBuff,MoveSpeedBuffOnSpecialAttack,IncreaseGearLevelOnHit,GenerateShieldOnHit",276.74,49,3,167.40,22.07,7.5862,20,7,701.19,23.37,30.0099,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",80.00,6,0,2,3,1,"C1Boss-DashAttackHitbox:30;C1Boss-MeleeAttack1Hitbox:10;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-CounterAttackHitbox:10;C1Boss-MeleeAttack2Hitbox :10"
"C2_Boss_1","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ReviveOnce",153.34,100,1,546.00,52.66,10.3675,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,34,5,1,4,2,"C2ShieldMobPrefab-ShieldAttackHitbox:30;C2GunnerMobPrefab (1)-RangedAttackHitbox:30;C2BombMobPrefab-ExplosionHitBox:40"
"C2_Boss_2","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ReviveOnce",652.58,350,38,4274.00,195.93,21.8134,1,0,0.00,0.88,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",460.00,56,7,47,11,7,"C2GunnerMobPrefab (2)-RangedAttackHitbox:80;C2ShieldMobPrefab (2)-ShieldAttackHitbox:50;C2GunnerMobPrefab (1)-RangedAttackHitbox:70;C2GunnerMobPrefab-RangedAttackHitbox:140;C2EliteMobPrefab-JumpAttackHitBox:50;C2ShieldMobPrefab-ShieldAttackHitbox:50;C2EliteMobPrefab-RushAttackHitBox:20"
"C2_Boss_3","ShieldOnEvade,IncreaseGearLevelOnHit,GenerateShieldOnHit,ReviveOnce",75.31,20,1,179.00,8.60,20.8149,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,0,0,7,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2BombMobPrefab-ExplosionHitBox:20"
