SerialNumber,af66a9f8cf9ee40d6173cb829ade882b30dfa027
TotalPlayTime,1309.03
TotalDeathCount,6
TotalKilledEnemies,96
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",52.10,18,1,84.00,8.75,9.6000,4,0,0.00,1.67,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,6,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",42.38,42,0,537.00,17.40,30.8621,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,13,1,1,5,0,""
"C1_Boss_3","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",48.70,33,0,267.20,13.00,20.5539,9,0,51.00,4.93,10.3377,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,6,0,0,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",28.73,44,0,524.00,18.23,28.7385,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,13,0,1,2,0,""
"C1_Boss_5","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",65.15,44,0,484.70,17.38,27.8828,18,0,87.00,11.63,7.4785,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,11,0,0,4,0,"C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",19.50,24,0,332.00,10.25,32.3902,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,0,0,1,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,MaxHPBuff,MoveSpeedBuffOnSpecialAttack",132.59,39,6,770.80,20.85,36.9688,19,0,60.00,12.95,4.6332,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,11,0,0,3,0,"C1Boss-DashAttackHitbox:10;C1Boss-MeleeAttack1Hitbox:10"
"C2_Boss_1","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoveSpeedBuffOnSpecialAttack",62.10,33,1,163.00,14.95,10.9013,10,0,30.00,4.70,6.3830,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,8,5,14,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20"
"C2_Boss_2","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoveSpeedBuffOnSpecialAttack",131.55,90,2,666.00,44.75,14.8827,4,0,0.00,2.40,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,41,14,7,1,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_3","MaxHPBuff,ShieldOnEvade,ReviveOnce,MoveSpeedBuffOnSpecialAttack",40.05,26,0,158.00,10.53,14.9999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,1,16,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10"
