SerialNumber,5c582e5178e654c0024083e8c09dc9d1c0e854e9
TotalPlayTime,2447.23
TotalDeathCount,16
TotalKilledEnemies,120
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",98.25,16,1,80.00,7.93,10.0840,17,1,0.00,16.58,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,8,0,0,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",60.85,47,0,526.00,21.20,24.8114,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,15,4,1,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",64.23,28,1,218.00,13.37,16.3092,11,0,96.00,10.68,8.9860,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,7,1,0,2,0,""
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",39.25,38,0,487.00,17.02,28.6189,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,13,0,1,2,0,"C1TonpaMobPrefab (8)-AttackHitbox:10;FallDamageArea-:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",121.42,30,4,860.50,15.05,57.1766,35,0,204.00,27.35,7.4589,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",60.00,13,0,0,1,1,"C1SandMecha (1)-MeleeHitbox:40;C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",25.52,26,0,320.00,11.08,28.8719,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,4,0,1,1,0,"C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",318.72,38,6,702.00,20.27,34.6382,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,0,0,0,0,""
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",67.97,18,0,86.00,8.59,10.0131,11,0,115.00,10.37,11.0933,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,16,13,0,0,0,"C2ShieldMobPrefab-ShieldAttackHitbox:40;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",396.23,158,3,1149.00,77.20,14.8834,33,0,240.00,24.50,9.7961,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff}",150.00,64,50,88,8,2,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:30;C2GunnerMobPrefab-RangedAttackHitbox:40;C2EliteMobPrefab-RushAttackHitBox:30;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2EliteMobPrefab-JumpAttackHitBox:30;C2ShieldMobPrefab (1)-ShieldAttackHitbox:20"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",53.53,22,1,174.00,11.30,15.3982,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,5,3,4,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
