SerialNumber,274dc33edc55f94d31454e84ff24eb20221c9773
TotalPlayTime,6325.49
TotalDeathCount,15
TotalKilledEnemies,109
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",246.20,25,1,20.00,13.83,1.4458,7,0,60.00,3.55,16.9016,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,5,0,3,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",98.66,22,0,280.00,9.53,29.3707,5,3,328.13,10.63,30.8581,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,7,2,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",131.99,33,0,247.30,15.42,16.0413,15,2,54.94,15.63,3.5141,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,12,2,0,5,0,"C1SandMecha-MeleeHitbox:40"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",45.98,18,1,270.00,8.58,31.4566,4,0,120.00,2.28,52.5549,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,0,5,2,0,""
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",3060.96,43,4,548.80,24.17,22.7094,33,2,226.50,30.83,7.3460,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",80.00,14,0,0,4,1,"C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",22.19,15,1,342.00,7.03,48.6231,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",1337.44,359,11,1178.70,173.85,6.7801,122,12,597.31,105.92,5.6395,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Shotgun};{order:27,from:Shotgun,to:Staff};{order:28,from:Staff,to:Shotgun};{order:29,from:Shotgun,to:Staff};{order:30,from:Staff,to:Shotgun};{order:31,from:Shotgun,to:Staff};{order:32,from:Staff,to:Shotgun};{order:33,from:Shotgun,to:Staff};{order:34,from:Staff,to:Shotgun};{order:35,from:Shotgun,to:Staff};{order:36,from:Staff,to:Shotgun};{order:37,from:Shotgun,to:Staff};{order:38,from:Staff,to:Shotgun};{order:39,from:Shotgun,to:Staff};{order:40,from:Staff,to:Shotgun};{order:41,from:Shotgun,to:Staff};{order:42,from:Staff,to:Shotgun};{order:43,from:Shotgun,to:Staff}",410.00,116,1,53,22,6,"C1Boss-DashAttackHitbox:40;C1Boss-CounterAttackHitbox:110;C1Boss-MeleeAttack1Hitbox:30;C1Boss-FlameThrowerMiddleHitbox:10;C1Boss-MeleeAttack2Hitbox :30;C1CannonExplode(Clone)-C1CannonExplode(Clone):50;C1Boss-MeleeAttack3Hitbox:70;C1Boss-FlameThrowerMainHitbox:30;C1Boss-FlameThrowerStartHitbox:20;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",90.89,37,0,178.00,19.90,8.9448,0,1,0.00,1.63,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,14,4,14,1,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",220.44,88,2,883.00,44.33,19.9179,10,1,120.00,8.27,14.5154,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",90.00,30,1,34,1,1,"C2GunnerMobPrefab-RangedAttackHitbox:50;C2EliteMobPrefab-JumpAttackHitBox:30;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",60.06,14,1,179.00,8.12,22.0493,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,9,0,0,""
