SerialNumber,274aa4c7c9404e85f54000220cae86cf4a4aa52f
TotalPlayTime,1626.95
TotalDeathCount,5
TotalKilledEnemies,102
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",121.18,12,1,0.00,7.07,0.0000,19,1,90.00,18.28,4.9225,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,8,0,12,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",76.37,11,2,206.00,6.90,29.8548,26,0,345.00,24.00,14.3750,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",0.00,11,1,1,4,0,""
"C1_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",90.23,0,0,0.00,0.00,NaN,33,3,311.25,38.17,8.1550,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,0,0,2,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",43.73,0,0,0.00,0.00,NaN,20,3,508.75,24.25,20.9794,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,2,1,0,"C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Boss_5","ShieldOnEvade,ReviveOnce,ExtraDash1",133.92,7,0,72.00,5.05,14.2575,55,3,858.81,51.52,16.6706,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",80.00,18,0,0,2,1,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1SandMecha (1)-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Boss_6","ShieldOnEvade,ReviveOnce,ExtraDash1",25.16,0,0,0.00,0.00,NaN,10,2,568.13,12.17,46.6958,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,2,1,0,"C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Boss_7","ShieldOnEvade,ReviveOnce,ExtraDash1",254.49,16,0,188.00,6.00,31.3333,42,9,643.31,50.35,12.7767,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",40.00,18,0,0,4,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-DashAttackHitbox:20"
"C2_Boss_1","ShieldOnEvade,ReviveOnce,ExtraDash1",50.87,12,1,86.00,5.92,14.5347,13,1,149.38,11.65,12.8237,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",10.00,8,4,1,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","ShieldOnEvade,ReviveOnce,ExtraDash1",97.86,2,0,10.00,0.83,12.0012,43,5,775.00,51.33,15.0975,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",30.00,12,8,13,6,0,"C2ShieldMobPrefab-ShieldAttackHitbox:30"
"C2_Boss_3","ShieldOnEvade,ReviveOnce,ExtraDash1",56.42,13,1,78.00,6.77,11.5268,6,0,75.00,6.35,11.8111,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",10.00,8,6,9,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Boss_4","ShieldOnEvade,ReviveOnce,ExtraDash1",16.72,0,0,0.00,0.00,NaN,5,2,253.13,8.30,30.4968,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,0,0,0,""
