SerialNumber,7a78104ef49e969823e07ff764390af32f01b6c5
TotalPlayTime,3001.31
TotalDeathCount,2
TotalKilledEnemies,193
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",301.74,93,0,0.00,25.52,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,15,14,0,8,0,"C1MidBoss-RushKick:10"
"C1_Stage2_1","",49.27,38,0,689.00,15.48,44.4989,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,23,4,1,6,0,""
"C1_Stage2_2","",187.71,32,2,296.99,10.72,27.7129,14,0,16.50,7.57,2.1806,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",10.00,8,5,0,5,0,"C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",64.59,45,3,838.70,18.70,44.8499,12,0,129.00,4.90,26.3271,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",0.00,17,7,1,4,0,""
"C1_Stage2_4","",13.85,20,1,337.30,7.50,44.9737,2,0,3.00,0.80,3.7501,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,9,4,2,4,0,"Hinge-Hitbox:10"
"C1_Stage2_5","",82.70,80,2,1446.40,27.67,52.2794,12,1,72.00,7.20,9.9998,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",70.00,34,18,8,9,1,"Hinge-Hitbox:20;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;FallDamageArea-:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_6","",59.93,84,3,1468.20,27.87,52.6868,7,0,9.00,3.12,2.8878,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",10.00,34,24,6,18,0,"Hinge-Hitbox:10"
"C1_Stage2_7","",23.77,20,1,427.00,8.38,50.9353,2,0,3.00,0.78,3.8298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,11,6,2,5,0,""
"C1_Stage2_8","",40.02,58,1,1132.10,21.08,53.6967,2,0,3.00,0.80,3.7503,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,28,4,0,5,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",47.85,9,4,1600.00,7.38,216.7017,10,0,48.00,5.28,9.0856,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,10,7,0,4,0,""
