SerialNumber,27761a064b3f64f163f803a7f433e7be0a53933c
TotalPlayTime,1932.90
TotalDeathCount,6
TotalKilledEnemies,94
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",118.50,31,1,89.00,14.83,6.0000,1,0,0.00,0.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,3,0,1,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",77.75,48,0,537.00,21.00,25.5715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,13,6,0,3,0,"C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (7)-RangedAttackHitbox:10"
"C1_Boss_3","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",90.47,19,1,224.00,10.53,21.2661,14,0,81.00,13.52,5.9925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,15,0,0,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Boss_4","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",33.51,32,0,444.00,13.70,32.4087,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,14,0,1,1,0,""
"C1_Boss_5","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",131.95,31,0,363.00,12.58,28.8479,51,0,167.50,45.22,3.7044,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,41,0,0,5,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:30;C1SandMecha-MeleeHitbox:20"
"C1_Boss_6","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",26.23,22,0,310.00,9.00,34.4440,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,0,0,1,0,"C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Boss_7","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",410.31,153,0,1285.20,68.58,18.7392,30,1,34.14,24.28,1.4058,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",150.00,67,0,56,8,2,"C1Boss-MeleeAttack1Hitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-DashAttackHitbox:60;C1Boss-FlameThrowerStartHitbox:10;C1Boss-FlameThrowerMainHitbox:20;C1Boss-CounterAttackHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10"
"C2_Boss_1","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",44.45,28,0,200.00,12.94,15.4537,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,5,1,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C2_Boss_2","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",134.08,72,0,686.00,34.58,19.8362,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,30,18,9,6,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_3","BaseMoveSpeedBuff,ShieldOnEvade,ReviveOnce,MaxHPBuff",58.46,22,0,170.00,11.02,15.4309,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,6,5,3,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:10;C2EliteMobPrefab-RushAttackHitBox:10"
