SerialNumber,e7b0e4d344a6b886b2b778d7d96aa97da59a6c14
TotalPlayTime,2437.99
TotalDeathCount,0
TotalKilledEnemies,174
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",88.42,94,0,0.00,25.60,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,16,14,0,5,0,"C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",42.61,45,0,715.00,16.20,44.1357,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,23,4,1,5,0,""
"C1_Stage2_2","",98.18,36,1,323.34,12.18,26.5396,13,1,1.50,8.70,0.1724,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,6,0,4,0,""
"C1_Stage2_3","",61.64,47,2,837.10,19.32,43.3355,15,1,174.00,8.53,20.3908,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",0.00,21,8,1,5,0,""
"C1_Stage2_4","",12.32,16,1,347.00,4.78,72.5428,3,0,3.00,1.28,2.3377,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,4,2,2,2,0,""
"C1_Stage2_5","",41.34,46,0,663.40,13.08,50.7053,7,1,36.00,6.05,5.9504,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,22,6,6,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_6","",57.49,78,2,1454.20,26.53,54.8066,11,2,58.30,5.72,10.1984,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",20.00,31,14,6,8,0,"Hinge-Hitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",22.91,22,1,428.00,9.03,47.3795,2,0,3.00,1.03,2.9032,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,13,4,2,4,0,"Hinge-Hitbox:10"
"C1_Stage2_8","",40.24,63,0,1110.40,20.53,54.0776,2,1,4.40,1.64,2.6830,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,24,3,0,4,0,"C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",52.60,10,4,1520.00,6.58,230.8911,12,0,123.00,7.90,15.5696,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,12,8,0,3,0,""
"C1_Stage3_1","",193.18,90,0,0.00,23.85,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,17,16,0,5,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 1:10"
