SerialNumber,c3fe4f7916ba5cddd72fe12acc02c9e2ea9fdfaa
TotalPlayTime,2134.58
TotalDeathCount,5
TotalKilledEnemies,231
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",220.04,235,0,0.00,76.73,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",260.00,57,24,20,20,5,"C1MidBoss-TangTang 2:100;C1MidBoss-TangTang 1:50;C1MidBoss-RushKick:110"
"C1_Stage2_1","",49.02,55,0,695.00,17.28,40.2126,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,11,7,3,6,0,""
"C1_Stage2_2","",122.10,53,0,239.27,19.78,12.0945,36,0,63.15,22.30,2.8318,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun}",50.00,17,0,0,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:30;C1EliteTonpaMobForDashTutorial-Attack:20"
"C1_Stage2_3","",70.36,68,0,814.50,17.53,46.4544,16,0,189.00,5.30,35.6601,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Staff};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Staff,to:Staff};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Staff,to:Staff};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Staff,to:Staff};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Staff,to:Staff};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Staff,to:Staff}",30.00,6,2,0,3,0,"C1EliteTonpaMobForDashTutorial (1)-Rush Attack:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_4","",22.13,26,0,299.10,9.12,32.8082,5,0,33.00,0.52,63.8715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",40.00,4,3,2,3,0,"Hinge-Hitbox:30;C1EliteTonpaMobForDashTutorial-Rush Attack:10"
"C1_Stage2_5","",49.57,72,0,686.10,25.27,27.1543,15,0,171.00,3.12,54.8657,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",80.00,18,12,6,6,0,"Hinge-Hitbox:30;C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_6","",73.93,106,0,1354.70,27.98,48.4110,17,0,134.70,7.18,18.7519,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",60.00,22,16,7,9,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;Hinge-Hitbox:20;C1EliteTonpaMob (4)-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",27.43,32,0,389.00,9.13,42.5911,5,0,33.00,0.70,47.1420,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",20.00,5,4,2,3,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_8","",47.52,69,0,1124.70,19.55,57.5293,4,0,33.00,0.45,73.3313,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",10.00,12,10,0,4,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_9","",46.16,23,0,172.00,7.05,24.3974,11,0,40.50,7.32,5.5353,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",30.00,9,1,0,1,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",23.37,26,0,302.80,7.47,40.5535,3,0,18.00,1.68,10.6937,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff}",0.00,7,4,2,4,0,""
"C1_Stage3_2","",46.27,56,0,708.90,19.27,36.7947,16,0,88.40,3.74,23.6064,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",50.00,10,4,3,1,0,"C1EliteTonpaMob (2)-Rush Attack:10;C1EliteTonpaMob (2)-Attack:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",49.33,61,0,721.30,18.90,38.1637,17,0,133.50,7.92,16.8640,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",40.00,20,3,0,4,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage3_4","",48.21,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",6.14,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_6","",69.63,100,0,1166.90,29.43,39.6455,33,0,339.00,11.83,28.6478,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff}",60.00,11,5,0,3,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_7","",53.03,42,0,474.20,7.43,63.7936,9,0,67.50,6.15,10.9756,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",0.00,6,4,3,1,0,""
"C1_Stage3_8","",117.80,101,0,0.00,31.63,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,22,9,5,9,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:30;C1MidBoss-Taaang:10"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",43.72,7,0,120.00,2.18,54.9614,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,1,1,0,0,""
"C1_Boss_2","ResetDashCooltimeOnWeaponChange",65.75,93,0,1125.60,32.97,34.1438,26,0,313.50,3.48,90.0046,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff}",40.00,17,10,0,5,0,"C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Boss_3","ResetDashCooltimeOnWeaponChange",59.02,64,0,710.80,23.33,30.4630,26,0,330.00,9.87,33.4458,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff}",30.00,7,2,0,1,0,"C1SandMecha-MeleeHitbox:20;C1TonpaMobPrefab (14)-AttackHitbox:10"
"C1_Boss_4","ResetDashCooltimeOnWeaponChange",86.76,70,0,1088.70,22.70,47.9605,7,0,91.50,0.03,2745.6700,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",30.00,11,6,2,4,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea-:10;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","ResetDashCooltimeOnWeaponChange",1.12,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_6","ResetDashCooltimeOnWeaponChange",60.68,55,0,700.10,15.43,45.3621,13,0,115.40,4.77,24.2101,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff}",20.00,9,3,1,3,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1SandMecha-MeleeHitbox:10"
