SerialNumber,c3fe4f7916ba5cddd72fe12acc02c9e2ea9fdfaa
TotalPlayTime,1642.28
TotalDeathCount,2
TotalKilledEnemies,103
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage1_1","",96.49,106,0,0.00,34.78,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,22,14,6,11,0,"C1MidBoss-TangTang 1:20;C1MidBoss-RushKick:10;C1MidBoss-TangTang 2:10"
"C1_Stage2_1","",42.17,52,0,689.00,14.03,49.0974,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,5,1,5,0,""
"C1_Stage2_2","",73.57,45,0,283.23,14.23,19.8991,18,0,31.50,8.70,3.6207,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff}",20.00,6,4,1,2,0,"C1EliteTonpaMobForDashTutorial-Rush Attack:10;C1EliteTonpaMobForDashTutorial-Attack:10"
"C1_Stage2_3","",1.52,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_1","",104.32,94,0,0.00,27.97,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,20,11,4,11,0,"C1MidBoss-KickKick 2:30;C1MidBoss-KickKick 1:10"
"C1_Boss_1","ResetDashCooltimeOnWeaponChange",2.47,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Boss_2","ResetDashCooltimeOnWeaponChange",279.96,127,0,1210.10,40.42,29.9370,83,0,339.00,47.78,7.0945,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Staff,to:Staff};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Staff,to:Staff};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Staff,to:Staff};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Staff,to:Staff};{order:11,from:Shotgun,to:Shotgun};{order:12,from:Staff,to:Staff};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Staff,to:Staff};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Staff,to:Staff};{order:17,from:Shotgun,to:Shotgun};{order:18,from:Staff,to:Staff}",160.00,36,13,1,16,0,"C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-FlameThrowerStartHitbox:20;C1Boss-FlameThrowerMainHitbox:10;C1Boss-CounterAttackHitbox:50;C1Boss-MeleeAttack2Hitbox :40;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-DashAttackHitbox:10"
"C2_Stage2_1","ResetDashCooltimeOnWeaponChange,ShieldOnDamage",20.98,40,0,347.00,11.87,29.2416,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,4,0,2,0,"C2GunnerMobPrefab-RangedAttackHitbox:10"
"C2_Stage2_2","ResetDashCooltimeOnWeaponChange,ShieldOnDamage",12.77,16,0,167.00,4.53,36.8383,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,2,0,3,0,""
"C2_Stage2_3","ResetDashCooltimeOnWeaponChange,ShieldOnDamage",112.28,32,0,276.00,12.62,21.8758,4,0,45.00,2.75,16.3636,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,25,0,180.00,12.18,14.7740,"{order:1,from:Shotgun,to:Shotgun};{order:2,from:Staff,to:Staff};{order:3,from:Spear,to:Spear};{order:4,from:Staff,to:Staff}",10.00,18,5,1,8,0,"C2GunnerMobPrefab (5)-RangedAttackHitbox:10"
