SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,2184.69
TotalDeathCount,13
TotalKilledEnemies,243
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",51.27,58,1,580.00,19.57,29.6425,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,17,2,8,3,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",8.93,14,0,180.00,4.42,40.7540,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,1,2,2,0,""
"C1_Stage2_3","",61.08,37,0,572.00,13.48,42.4233,5,1,122.38,2.48,49.2784,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,18,8,7,6,1,"FallDamageArea-:40;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_4","",80.45,82,0,1120.00,28.00,40.0002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,35,12,12,11,1,"C1TonpaMobPrefab (11)-AttackHitbox:30;C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",35.63,45,0,230.00,14.22,16.1783,4,1,107.38,2.63,40.7749,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,16,3,3,3,1,"FallDamageArea (4)-:40"
"C1_Stage2_6","",44.65,74,0,850.00,20.35,41.7690,6,1,122.38,3.68,33.2238,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,28,5,4,6,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",71.42,18,0,266.00,6.58,40.4052,19,4,704.69,15.02,46.9267,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",30.00,11,2,3,3,0,"C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (4)-DashAttackHitbox:10"
"C1_Stage3_1","",29.63,11,0,150.00,5.08,29.5076,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,8,1,4,1,1,"FallDamageArea-:40"
"C1_Stage3_2","",42.05,34,0,450.00,11.92,37.7626,4,1,122.38,2.65,46.1788,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,16,3,8,2,1,"C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",26.77,23,1,380.00,9.08,41.8347,11,1,197.38,5.67,34.8311,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,10,2,2,3,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
