SerialNumber,e7c8beb27166f5357a398fdabdd8d8624552a245
TotalPlayTime,2372.17
TotalDeathCount,24
TotalKilledEnemies,123
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Boss_1","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",94.89,24,1,82.00,13.45,6.0966,5,1,0.00,6.08,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,7,0,0,0,0,""
"C1_Boss_2","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",65.26,27,3,563.00,16.83,33.4456,6,0,60.00,4.43,13.5337,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,16,1,0,1,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10"
"C1_Boss_3","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",66.83,37,0,282.10,15.60,18.0834,12,0,126.00,6.80,18.5293,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,16,2,0,4,0,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Boss_4","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",29.95,17,0,158.00,8.37,18.8843,10,0,285.00,5.63,50.5915,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,12,0,2,1,0,"FallDamageArea-:20"
"C1_Boss_5","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",68.29,47,2,484.40,23.48,20.6275,15,0,177.00,6.28,28.1693,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",0.00,19,1,1,3,0,""
"C1_Boss_6","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",20.36,6,0,89.00,3.22,27.6683,4,1,381.01,5.65,67.4358,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,6,0,1,0,0,""
"C1_Boss_7","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",401.17,122,9,1418.50,81.35,17.4370,37,5,756.88,34.35,22.0341,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff}",190.00,107,4,12,24,3,"C1Boss-DashAttackHitbox:70;C1Boss-FlameThrowerMainHitbox:10;C1Boss-CounterAttackHitbox:30;C1Boss-FlameThrowerStartHitbox:30;C1Boss-MeleeAttack2Hitbox :30;C1CannonExplode(Clone)-C1CannonExplode(Clone):20"
"C2_Boss_1","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",48.99,19,0,119.00,8.21,14.4961,12,0,90.00,9.68,9.2941,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,12,0,7,0,0,"C2GunnerMobPrefab (1)-RangedAttackHitbox:10;C2ShieldMobPrefab-ShieldAttackHitbox:10"
"C2_Boss_2","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",201.20,100,7,768.00,56.50,13.5928,49,9,971.88,41.75,23.2786,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff}",120.00,43,1,29,3,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:30;C2GunnerMobPrefab-RangedAttackHitbox:50;C2EliteMobPrefab-RushAttackHitBox:10;C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C2_Boss_3","ExtraDash1,MaxHPBuff,MoreGearIncreaseOnAttack,ExtraDash2",50.23,9,1,172.00,6.47,26.5984,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,0,5,1,0,""
