SerialNumber,06d7467bca069341ab6755e3016c180559008ae6
TotalPlayTime,1666.47
TotalDeathCount,3
TotalKilledEnemies,154
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",52.93,52,0,540.00,15.13,35.6830,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,15,5,7,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",10.49,15,0,160.00,4.23,37.7952,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,1,2,1,0,""
"C1_Stage2_3","",47.04,65,0,576.00,18.27,31.5329,5,0,93.00,2.52,36.9546,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,12,6,6,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",61.21,87,0,1050.00,25.80,40.6978,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,26,9,10,5,0,"C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_5","",33.73,31,0,313.00,9.43,33.1806,2,0,3.00,0.82,3.6735,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,8,1,5,2,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",61.04,74,0,922.00,21.38,43.1174,5,0,33.00,1.77,18.6793,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,18,4,0,5,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_7","",65.04,7,0,70.00,2.03,34.4274,10,0,36.00,7.45,4.8322,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,6,1,3,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",46.12,13,0,150.00,4.95,30.3026,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,5,1,6,2,1,"FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",57.58,45,0,623.00,15.10,41.2567,8,0,6.00,3.80,1.5789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",60.00,13,0,3,1,1,"C1PistolMob (2)-AttackHitbox:40;FallDamageArea (1)-:20"
"C1_Stage3_3","",39.93,39,0,440.00,11.97,36.7699,8,0,33.00,7.38,4.4695,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,7,0,2,0,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
