SerialNumber,eedd184e97359eb390d2eebdc2247424d3418c55
TotalPlayTime,4730.76
TotalDeathCount,15
TotalKilledEnemies,323
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",613.93,1,0,0.00,0.47,0.0000,112,0,1560.00,110.85,14.0731,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",280.00,84,17,9,11,4,"C1PistolMobForDashTutorial-AttackHitbox:210;C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",24.55,0,0,0.00,0.00,NaN,14,0,180.00,12.08,14.8967,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,8,1,3,0,0,""
"C1_Stage2_3","",81.88,0,0,0.00,0.00,NaN,52,0,747.00,42.15,17.7224,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,24,9,7,8,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",82.67,63,0,740.00,22.02,33.6110,22,0,375.00,18.52,20.2520,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",50.00,26,4,8,8,0,"C1PistolMob-AttackHitbox:40;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",63.52,0,0,0.00,0.00,NaN,39,0,354.00,37.55,9.4274,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,18,0,4,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",128.80,37,0,333.00,15.50,21.4837,51,0,684.00,36.70,18.6378,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun}",70.00,33,0,2,3,0,"C1PistolMob-AttackHitbox:50;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",120.23,9,0,100.00,3.13,31.9152,21,0,102.00,20.35,5.0124,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",80.00,16,0,6,1,1,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1SandMecha (1)-LandingImpactHitbox:50"
"C1_Stage3_1","",78.67,5,0,70.00,1.50,46.6591,5,0,90.00,6.60,13.6357,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",110.00,10,0,5,1,2,"FallDamageArea-:100;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",53.32,14,0,150.00,9.28,16.1582,23,0,351.00,15.97,21.9838,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff}",40.00,19,0,2,0,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:20"
"C1_Stage3_3","",41.70,32,0,377.00,12.87,29.2999,13,0,111.00,8.68,12.7834,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,14,1,0,1,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
