SerialNumber,cae8c0262b51e665b97d6036438b3f150601ca46
TotalPlayTime,3240.78
TotalDeathCount,17
TotalKilledEnemies,267
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",54.21,48,0,540.00,14.08,38.3434,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,11,4,0,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",11.23,12,0,150.00,3.47,43.2691,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,2,2,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",91.58,127,0,1141.00,36.48,31.2745,9,0,96.00,5.02,19.1362,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",90.00,28,9,8,9,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",63.18,81,0,1070.00,22.98,46.5556,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,19,5,8,6,0,"C1PistolMob-AttackHitbox:30;FallDamageArea (3)-:20"
"C1_Stage2_5","",36.47,28,0,281.00,9.03,31.1073,5,0,33.00,2.93,11.2502,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,7,1,3,2,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",54.87,62,0,935.00,18.58,50.3133,5,0,33.00,2.40,13.7499,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,14,3,0,3,0,"C1PistolMob-AttackHitbox:30"
"C1_Stage2_7","",55.31,12,0,100.00,4.02,24.8963,6,0,6.00,3.45,1.7391,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,3,0,0,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",67.72,24,0,270.00,8.82,30.6237,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,9,2,6,1,1,"FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:30"
"C1_Stage3_2","",59.45,33,0,430.00,11.65,36.9106,6,0,34.00,3.43,9.9029,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,10,2,3,1,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",31.62,34,0,380.00,10.10,37.6248,10,0,108.00,4.02,26.8876,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,8,1,0,2,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10"
