SerialNumber,7b14014421aa59c79316d327031003ec9e45d6ec
TotalPlayTime,6786.55
TotalDeathCount,43
TotalKilledEnemies,492
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",55.90,50,0,450.00,15.02,29.9665,9,0,120.00,4.55,26.3733,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,15,3,0,3,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",11.38,8,0,60.00,2.47,24.3242,6,0,105.00,1.98,52.9411,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,2,0,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",85.27,95,0,874.00,26.97,32.4103,48,1,434.88,18.90,23.0092,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff}",50.00,28,6,9,4,1,"C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Stage2_4","",275.48,159,1,2110.00,48.58,43.4305,154,7,2569.38,60.98,42.1324,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff}",220.00,87,13,36,9,5,"C1PistolMob-AttackHitbox:50;C1GunnerMobPrefab-RangedAttackHitbox:50;C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:30;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20"
"C1_Stage2_5","",32.67,24,0,270.00,7.98,33.8204,6,0,63.00,2.92,21.5999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,8,0,6,1,0,""
"C1_Stage2_6","",51.45,45,3,950.00,18.17,52.2937,4,0,18.00,1.85,9.7292,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,15,2,2,1,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",57.73,7,1,110.00,3.12,35.2951,10,0,7.50,5.35,1.4019,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,4,0,1,0,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",41.25,17,0,180.00,8.85,20.3390,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,9,0,9,0,1,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",52.75,52,0,594.00,16.88,35.1824,11,1,171.00,7.13,23.9717,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",70.00,21,3,5,3,1,"C1PistolMob (2)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",33.20,29,0,341.00,9.17,37.2007,10,2,213.25,7.52,28.3705,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",10.00,12,0,2,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_4","",842.33,5,0,0.00,2.10,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",343.50,231,4,2629.00,81.87,32.1135,144,5,1605.63,79.85,20.1079,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Shotgun};{order:24,from:Shotgun,to:Staff};{order:25,from:Staff,to:Shotgun};{order:26,from:Shotgun,to:Staff};{order:27,from:Staff,to:Shotgun};{order:28,from:Shotgun,to:Staff};{order:29,from:Staff,to:Shotgun};{order:30,from:Shotgun,to:Shotgun};{order:31,from:Shotgun,to:Staff};{order:32,from:Staff,to:Shotgun};{order:33,from:Shotgun,to:Staff};{order:34,from:Staff,to:Shotgun};{order:35,from:Shotgun,to:Staff};{order:36,from:Staff,to:Shotgun};{order:37,from:Shotgun,to:Staff};{order:38,from:Staff,to:Shotgun};{order:39,from:Shotgun,to:Staff};{order:40,from:Staff,to:Shotgun};{order:41,from:Shotgun,to:Staff};{order:42,from:Staff,to:Shotgun};{order:43,from:Shotgun,to:Staff};{order:44,from:Staff,to:Shotgun};{order:45,from:Shotgun,to:Staff}",260.00,96,2,10,10,6,"C1SandMecha-MeleeHitbox:30;C1EliteTonpaMob-Rush Attack:80;C1GunnerMobPrefab-RangedAttackHitbox:50;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):20;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (5)-AttackHitbox:50;C1SandMecha-DashAttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10"
