SerialNumber,0f75ff69634f49ae654c9e4d03c1c2bc9ef1deef
TotalPlayTime,3627.74
TotalDeathCount,4
TotalKilledEnemies,291
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",65.63,53,0,540.00,18.20,29.6702,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,12,2,1,4,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",11.02,11,0,150.00,3.45,43.4781,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,2,1,0,""
"C1_Stage2_3","",55.25,53,0,562.00,16.00,35.1250,1,0,15.00,1.27,11.8421,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,7,2,7,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;FallDamageArea (1)-:20;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_4","",67.45,61,0,1040.00,20.98,49.5630,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,16,0,7,2,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:10"
"C1_Stage2_5","",51.43,22,0,231.00,8.05,28.6953,15,0,84.00,14.60,5.7534,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,7,1,2,0,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",68.93,61,0,840.00,17.80,47.1909,14,0,84.00,12.02,6.9903,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,12,2,0,3,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",72.18,2,0,0.00,0.95,0.0000,23,0,102.00,18.67,5.4643,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,4,0,0,1,0,"C1SandMecha-MeleeHitbox:30"
"C1_Stage3_1","",37.37,14,0,150.00,5.28,28.3899,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,8,3,4,1,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:30"
"C1_Stage3_2","",53.18,21,0,340.00,5.68,59.8239,21,0,117.00,18.97,6.1687,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,5,0,4,2,0,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",44.02,35,0,410.00,12.33,33.2438,14,0,84.00,12.00,7.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,8,0,1,1,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10"
