SerialNumber,04bd33a154569c47f27667286c6205d9e9f218b6
TotalPlayTime,2897.45
TotalDeathCount,17
TotalKilledEnemies,323
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",57.43,46,0,530.00,16.92,31.3302,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,7,0,1,0,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",13.02,10,0,150.00,3.05,49.1805,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,4,0,0,""
"C1_Stage2_3","",74.20,43,0,518.00,13.47,38.4657,23,0,147.00,20.67,7.1129,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,6,0,12,0,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",183.12,178,0,2440.00,56.00,43.5709,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",240.00,26,0,26,0,3,"C1GunnerMobPrefab-RangedAttackHitbox:70;C1TonpaMobPrefab (16)-AttackHitbox:30;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",53.97,16,0,170.00,5.35,31.7766,21,0,159.00,18.68,8.5103,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,5,0,6,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_6","",78.95,80,0,872.00,24.27,35.9342,15,0,84.00,14.48,5.7997,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,17,0,0,1,0,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (2)-Hitboxes:10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",74.16,1,0,0.00,1.82,0.0000,24,0,102.00,20.88,4.8843,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,7,0,1,0,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",55.48,17,0,150.00,8.78,17.0785,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,9,0,9,0,2,"FallDamageArea-:80;C1PistolMob (1)-AttackHitbox:30"
"C1_Stage3_2","",116.80,60,0,630.00,18.43,34.1763,46,0,330.00,31.42,10.5041,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",170.00,23,0,9,1,3,"C1PistolMob (2)-AttackHitbox:130;C1TonpaMobPrefab (4)-AttackHitbox:10;FallDamageArea (1)-:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_3","",137.03,73,0,721.00,24.12,29.8965,107,0,1015.00,44.52,22.8003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff}",210.00,35,0,2,1,4,"C1PistolMob-AttackHitbox:80;C1TonpaMobPrefab (1)-AttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:40;C1EliteTonpaMob (1)-Rush Attack:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
