SerialNumber,bb64b49c0a1612aad2f1ea2e843a748f3402dd9e
TotalPlayTime,2314.34
TotalDeathCount,20
TotalKilledEnemies,251
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",138.43,83,0,1030.00,30.17,34.1438,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,29,6,32,12,2,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:30"
"C1_Stage2_2","",15.60,7,0,150.00,4.15,36.1438,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,1,7,1,0,"FallDamageArea-:10"
"C1_Stage2_3","",73.20,55,0,518.00,19.58,26.4513,10,0,126.00,6.88,18.3049,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",90.00,22,3,18,6,1,"C1PistolMobForDashTutorial-AttackHitbox:10;FallDamageArea-:30;C1PistolMob (1)-AttackHitbox:20;FallDamageArea (1)-:20;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",73.43,78,0,950.00,29.60,32.0950,5,0,135.00,2.83,47.6474,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",60.00,40,7,27,8,0,"FallDamageArea (1)-:10;FallDamageArea (3)-:20;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",38.05,37,0,264.00,14.20,18.5912,8,0,66.00,4.25,15.5294,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,17,4,8,2,0,"C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab-AttackHitbox:20;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",135.40,72,0,1031.00,33.65,30.6358,6,0,93.00,3.40,27.3528,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",190.00,46,2,37,5,4,"C1PistolMob-AttackHitbox:70;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:40;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_7","",101.17,20,0,201.00,8.18,24.5626,13,0,12.00,10.20,1.1764,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",50.00,18,0,18,2,2,"C1SandMecha (2)-LandingImpactHitbox:50"
"C1_Stage3_1","",17.17,13,0,150.00,4.92,30.5087,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,2,6,2,0,""
"C1_Stage3_2","",39.02,34,0,480.00,12.07,39.7787,5,0,18.00,2.57,7.0127,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,14,2,11,3,1,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage3_3","",29.27,39,0,440.00,11.57,38.0396,6,0,33.00,2.20,15.0003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,13,4,9,4,0,""
