SerialNumber,3a8d06a42e1688d95394cd0edeae7b6dd347aab9
TotalPlayTime,3606.05
TotalDeathCount,19
TotalKilledEnemies,406
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",50.05,52,0,540.00,17.68,30.5374,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,15,3,0,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",10.86,10,0,150.00,3.30,45.4539,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,3,1,0,""
"C1_Stage2_3","",41.31,51,0,642.00,16.18,39.6706,5,0,18.00,3.23,5.5671,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,12,6,6,5,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_4","",104.29,129,0,1930.00,42.40,45.5189,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,40,12,18,12,1,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (11)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",26.51,17,0,190.00,7.17,26.5118,4,0,33.00,1.53,21.5219,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,9,1,3,2,0,""
"C1_Stage2_6","",53.79,47,0,824.00,21.90,37.6257,7,0,123.00,3.30,37.2722,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,24,4,2,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage2_7","",122.20,17,0,200.00,8.08,24.7427,19,0,27.00,15.25,1.7705,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",100.00,11,0,3,0,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha (7)-LandingImpactHitbox:50;C1SandMecha (7)-MeleeHitbox:10"
"C1_Stage3_1","",34.59,10,0,150.00,5.87,25.5675,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,9,1,3,1,1,"FallDamageArea-:40"
"C1_Stage3_2","",33.79,27,0,430.00,11.37,37.8298,5,0,33.00,3.83,8.6083,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,17,1,6,2,0,"C1PistolMob (2)-AttackHitbox:10"
"C1_Stage3_3","",28.78,38,0,470.00,13.95,33.6919,3,0,18.00,1.58,11.3690,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,14,1,3,2,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",97.21,2,0,0.00,3.65,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,0,5,0,0,""
"C1_Stage3_5","",106.76,84,0,999.00,31.77,31.4473,38,0,357.00,21.40,16.6825,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff}",50.00,36,1,4,3,1,"C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (5)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",242.94,42,0,585.00,26.95,21.7068,77,0,1285.50,52.52,24.4782,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff}",210.00,95,0,25,3,4,"C1EliteTonpaMob (1)-Attack:10;C1TonpaMobPrefab (2)-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Hitboxes:10;C1EliteTonpaMob (1)-Rush Attack:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:30;C1SandMecha-LandingImpactHitbox:50;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage3_7","",142.16,62,0,0.00,19.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,13,5,1,7,0,"C1MidBoss-TangTang 1:10;C1MidBoss-KickKick 2:10"
"C1_Boss_1","",43.84,5,0,100.00,3.25,30.7704,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,2,0,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","",261.68,235,0,2852.00,78.58,36.2921,78,0,924.00,40.07,23.0621,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff}",110.00,101,10,3,19,2,"C1TonpaMobPrefab-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","",52.69,49,0,603.00,16.02,37.6467,15,0,339.00,8.07,42.0262,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,20,2,3,5,0,"C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10"
"C1_Boss_4","",221.39,119,0,1422.00,40.32,35.2710,98,0,1097.00,32.32,33.9451,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff}",150.00,70,9,20,13,3,"C1PistolMob (2)-AttackHitbox:60;C1PistolMob (3)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;FallDamageArea-:40;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab (6)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Boss_5","",63.61,42,0,566.00,14.00,40.4293,16,0,45.00,5.88,7.6481,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,14,0,2,3,0,""
"C1_Boss_6","",21.79,31,0,458.00,9.90,46.2654,5,0,33.00,2.33,14.1419,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,12,2,3,3,0,""
"C1_Boss_7","",319.09,126,0,1472.00,38.87,37.8735,23,0,120.00,13.70,8.7588,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,18,4,5,6,1,"C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1Boss-DashAttackHitbox:10"
"C2_Boss_1","",47.44,35,0,230.00,14.53,15.8253,4,0,30.00,2.07,14.5162,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,18,6,1,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Boss_2","",311.09,104,5,865.00,54.98,15.7325,92,0,890.00,41.45,21.4721,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",150.00,110,32,13,15,3,"C2ShieldMobPrefab (2)-ShieldAttackHitbox:10;Player-슈아2 감전 스택 폭발:50;C2EliteMobPrefab (3)-RushAttackHitBox:20;C2EliteMobPrefab-RushAttackHitBox:30;C2ElecWhipmanPrefab-LowAttackHitBox:20;C2ElecWhipmanPrefab-AttackHitBox:20"
"C2_Boss_3","",52.21,11,1,165.00,8.87,18.6084,2,0,7.50,1.52,4.9445,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,13,1,3,0,0,""
"C2_Boss_4","",27.76,22,2,180.00,12.33,14.5938,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,13,0,0,2,0,"C2ElecWhipmanPrefab (1)-LowAttackHitBox:10;Player-슈아2 감전 스택 폭발:20"
"C2_Boss_5","",256.27,143,9,1775.00,59.22,29.9750,7,0,30.00,4.35,6.8968,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",100.00,45,5,2,12,2,"C2Boss-Electric Attack:20;C2Boss-Kickshot-Gun:20;FX_Explosion-Hitbox:30;C2Boss-Kickshot-Kick:10;C2Boss-Jumpshot:10;C2Boss-Drillshot-Swing:10"
