SerialNumber,65aff2892a23cd5b4bd82e836dc4f0b5424760a0
TotalPlayTime,2502.35
TotalDeathCount,2
TotalKilledEnemies,259
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",43.65,50,0,570.00,14.72,38.7315,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,18,1,0,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",9.02,8,0,160.00,4.07,39.3456,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,0,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",42.35,60,0,623.00,20.00,31.1498,4,0,33.00,1.23,26.7567,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,19,2,6,3,0,"C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Stage2_4","",56.94,88,0,1080.00,31.12,34.7081,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,33,1,7,4,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",28.62,28,0,310.00,11.42,27.1532,3,0,18.00,1.52,11.8682,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,1,2,1,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",43.37,71,0,925.00,20.13,45.9438,5,0,33.00,1.53,21.5219,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,20,3,0,6,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",60.72,8,0,70.00,5.23,13.3756,19,0,60.00,8.75,6.8572,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",30.00,8,0,0,1,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (7)-MeleeHitbox:10"
"C1_Stage3_1","",19.70,14,0,150.00,6.22,24.1287,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,0,4,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",30.80,38,0,405.00,10.85,37.3273,10,0,63.00,5.13,12.2725,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,16,1,2,4,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",28.27,43,0,462.00,15.37,30.0651,4,0,18.00,1.35,13.3330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,10,0,1,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
