SerialNumber,5730704991223c9fc18a97d35b11b54d2b295b5d
TotalPlayTime,4661.63
TotalDeathCount,22
TotalKilledEnemies,308
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",96.20,79,0,780.00,27.22,28.6591,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,15,1,10,0,1,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:50"
"C1_Stage2_2","",14.20,16,0,150.00,4.57,32.8473,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",83.03,41,0,541.00,13.60,39.7790,20,0,144.00,19.13,7.5261,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",100.00,13,0,15,0,1,"C1PistolMobForDashTutorial-AttackHitbox:20;FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (7)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10"
"C1_Stage2_4","",91.58,107,0,1180.00,31.87,37.0295,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,20,0,16,2,1,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:30;C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_5","",48.32,17,0,250.00,6.73,37.1294,15,0,84.00,14.90,5.6376,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,0,6,0,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_6","",84.42,74,0,842.00,23.98,35.1078,16,0,84.00,15.50,5.4193,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,22,0,5,1,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",211.37,1,0,0.00,0.47,0.0000,124,0,846.00,109.72,7.7108,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",130.00,29,0,0,6,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:30;C1SandMecha (3)-MeleeHitbox:20;C1SandMecha (2)-MeleeHitbox:20;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (2)-DashAttackHitbox:10"
"C1_Stage3_1","",75.08,21,0,150.00,8.70,17.2415,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,6,1,18,0,0,"FallDamageArea-:60;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",109.28,63,0,740.00,23.27,31.8054,22,0,117.00,19.78,5.9140,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",120.00,19,0,10,1,2,"C1PistolMob (2)-AttackHitbox:70;FallDamageArea (1)-:40;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_3","",48.30,34,0,400.00,12.33,32.4323,15,0,114.00,14.93,7.6339,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,11,0,1,1,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
