SerialNumber,06d7467bca069341ab6755e3016c180559008ae6
TotalPlayTime,3261.86
TotalDeathCount,4
TotalKilledEnemies,292
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",99.22,40,0,470.00,11.67,40.2856,5,0,90.00,1.82,49.5417,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,8,2,1,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",9.36,13,0,160.00,3.35,47.7607,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,2,1,0,""
"C1_Stage2_3","",42.39,58,0,635.00,14.68,43.2463,9,0,51.00,4.35,11.7242,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,15,3,6,4,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",76.04,82,0,1050.00,23.97,43.8111,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,16,5,12,6,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",33.84,27,0,220.00,8.38,26.2428,10,0,108.00,3.78,28.5459,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,4,2,4,2,0,""
"C1_Stage2_6","",55.23,58,0,907.00,21.08,43.0198,5,0,33.00,1.88,17.5224,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,16,2,1,2,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",78.98,31,0,580.00,8.30,69.8796,30,0,255.00,16.58,15.3769,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",40.00,9,2,4,4,0,"C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",24.39,12,0,150.00,6.30,23.8096,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,0,6,0,0,"FallDamageArea-:20"
"C1_Stage3_2","",36.19,33,0,414.00,11.97,34.5961,10,0,51.00,4.87,10.4796,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,12,2,7,2,0,"C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",33.68,49,0,422.00,14.82,28.4817,8,0,66.00,4.38,15.0567,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,14,2,1,4,0,""
"C1_Stage3_4","",70.11,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,6,0,0,""
"C1_Stage3_5","",138.16,100,0,1370.00,29.80,45.9729,33,0,282.00,18.82,14.9867,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff}",120.00,25,2,13,6,2,"C1SandMecha-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:40;C1EliteTonpaMob-Rush Attack:10;C1PistolMob (5)-AttackHitbox:10"
