SerialNumber,9dc91d42bf61c9145b032740191f6e363ff16c76
TotalPlayTime,7542.96
TotalDeathCount,29
TotalKilledEnemies,304
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",75.34,49,0,530.00,16.57,31.9925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,19,11,0,3,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",9.89,9,0,150.00,3.85,38.9613,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,1,2,0,0,""
"C1_Stage2_3","",40.82,47,0,583.00,15.23,38.2721,5,0,63.00,1.70,37.0599,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,13,5,5,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",67.22,79,0,1060.00,23.93,44.2899,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,22,7,7,4,0,"C1PistolMob-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",53.20,23,0,280.00,8.37,33.4660,4,0,33.00,2.42,13.6554,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,5,2,2,0,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",71.42,59,0,882.00,17.28,51.0304,4,0,33.00,2.48,13.2882,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,10,5,0,2,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",61.43,17,0,88.00,5.47,16.0979,10,0,21.00,4.02,5.2280,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",20.00,5,2,0,2,0,"C1SandMecha-DashAttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",39.09,14,0,150.00,5.32,28.2133,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,1,3,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",51.09,36,0,472.00,10.07,46.8881,13,0,141.00,6.25,22.5600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",70.00,10,4,3,3,1,"C1PistolMob (2)-AttackHitbox:30;FallDamageArea (1)-:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",35.06,37,0,410.00,10.65,38.4980,10,0,78.00,4.27,18.2815,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",40.00,5,2,0,2,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob (1)-Attack:10"
