SerialNumber,25f0d3036e527d6f965b18fbc9ff121c19358e3a
TotalPlayTime,3005.48
TotalDeathCount,31
TotalKilledEnemies,391
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",147.48,35,0,550.00,10.73,51.2431,37,0,645.00,31.03,20.7842,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",90.00,35,17,1,9,2,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:60;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",9.52,11,0,150.00,3.13,47.8728,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,1,2,1,0,""
"C1_Stage2_3","",76.62,72,0,747.00,20.13,37.1031,12,0,96.00,8.37,11.4741,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,23,12,9,7,1,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_4","",522.95,357,0,5340.00,109.55,48.7450,121,0,2025.00,49.80,40.6629,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff}",510.00,149,56,89,41,12,"C1PistolMob-AttackHitbox:170;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1PistolMob (2)-AttackHitbox:140;FallDamageArea (3)-:40;C1TonpaMobPrefab (12)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:40;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;FallDamageArea (2)-:20;C1TonpaMobPrefab (17)-AttackHitbox:20"
"C1_Stage2_5","",31.43,10,0,150.00,4.87,30.8217,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,7,2,7,1,0,""
"C1_Stage2_6","",151.05,55,0,560.00,16.53,33.8710,76,0,1193.00,43.57,27.3833,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",110.00,37,13,9,8,2,"C1TonpaMobPrefab (2)-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:30;C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",53.10,7,0,80.00,1.25,64.0063,10,0,21.00,6.13,3.4238,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,3,0,1,1,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",23.50,18,0,160.00,6.33,25.2635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,6,1,2,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",128.50,44,0,570.00,19.35,29.4574,26,0,276.00,16.88,16.3475,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun}",110.00,33,8,16,6,2,"C1PistolMob (2)-AttackHitbox:60;FallDamageArea (1)-:40;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_3","",63.02,56,0,710.00,16.42,43.2488,11,0,81.00,7.23,11.1983,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",70.00,16,0,4,2,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10"
