SerialNumber,25f0d3036e527d6f965b18fbc9ff121c19358e3a
TotalPlayTime,2161.70
TotalDeathCount,5
TotalKilledEnemies,265
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",54.78,48,0,550.00,14.95,36.7890,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,9,1,0,1,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",6.75,0,0,0.00,0.90,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,2,0,0,""
"C1_Stage2_3","",18.85,0,0,0.00,1.62,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,1,6,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",55.58,51,0,960.00,16.65,57.6574,5,0,90.00,3.05,29.5083,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,17,3,11,5,0,"C1TonpaMobPrefab (11)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",29.62,21,0,290.00,6.60,43.9400,6,0,33.00,2.12,15.5908,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,6,1,2,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",54.33,54,0,721.00,16.62,43.3899,11,0,243.00,4.68,51.8859,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,13,2,1,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_7","",97.44,18,0,200.00,5.23,38.2161,12,0,12.00,7.15,1.6783,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff}",70.00,8,0,3,1,1,"C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10;C1SandMecha (3)-LandingImpactHitbox:50"
"C1_Stage3_1","",21.18,12,0,150.00,4.60,32.6089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,1,2,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",38.58,32,0,432.00,9.87,43.7836,10,0,36.00,7.22,4.9884,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,10,1,2,2,0,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",33.55,39,0,430.00,12.58,34.1722,10,0,51.00,4.95,10.3029,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",10.00,9,2,0,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage3_4","",55.45,0,0,0.00,0.00,NaN,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,1,0,0,""
"C1_Stage3_5","",52.33,69,0,799.00,17.98,44.4299,19,0,135.00,11.18,12.0715,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun}",30.00,12,2,0,5,0,"C1SandMecha-MeleeHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_6","",55.00,26,0,208.00,7.68,27.0707,19,0,318.00,9.52,33.4149,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",20.00,4,0,6,1,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
