SerialNumber,2f73d1099c98c37b6e19a0e73b1c5cca3e6a8342
TotalPlayTime,5993.33
TotalDeathCount,81
TotalKilledEnemies,867
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",53.88,57,0,530.00,16.20,32.7163,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,11,4,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",12.73,16,0,160.00,4.38,36.5012,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",94.37,132,0,1316.00,34.80,37.8162,10,0,51.00,4.03,12.6443,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",150.00,11,10,10,4,2,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Attack:20;C1TonpaMobPrefab (10)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",404.95,466,0,5890.00,126.65,46.5062,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",500.00,62,34,43,14,6,"C1PistolMob-AttackHitbox:120;C1TonpaMobPrefab (11)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:80;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:140;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",64.50,34,0,320.00,10.23,31.2702,15,0,119.50,5.03,23.7412,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",70.00,1,0,4,0,1,"C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",83.52,88,0,935.00,24.13,38.7428,4,0,18.00,1.25,14.3986,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,9,5,4,3,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",50.65,8,0,100.00,2.32,43.1658,4,0,6.00,2.08,2.8799,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,0,0,2,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",25.83,15,0,150.00,5.92,25.3518,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,1,2,0,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",65.47,43,0,610.00,14.80,41.2154,5,0,18.00,1.80,10.0004,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",90.00,6,0,3,0,1,"C1PistolMob (2)-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:20;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",59.60,75,0,861.00,20.77,41.4606,10,0,21.00,3.30,6.3635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",70.00,3,2,3,1,1,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_4","",62.58,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
