SerialNumber,42adadbc2086521107a10796d23da4c06c36fbe8
TotalPlayTime,5023.23
TotalDeathCount,20
TotalKilledEnemies,311
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",123.38,32,0,300.00,8.95,33.5200,42,1,540.00,33.75,16.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",90.00,23,16,1,2,1,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20"
"C1_Stage2_2","",16.87,10,0,100.00,1.98,50.4201,7,0,75.00,4.10,18.2925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",10.00,4,2,2,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",1288.48,45,0,367.00,13.43,27.3197,78,0,525.00,63.48,8.2699,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",110.00,29,15,9,5,1,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:50;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob-Attack:20"
"C1_Stage2_4","",86.88,39,0,370.00,11.23,32.9368,35,0,390.00,28.02,13.9203,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",30.00,18,10,7,5,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",29.09,7,0,70.00,1.33,52.5032,9,0,78.00,4.60,16.9562,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,2,2,2,2,0,""
"C1_Stage2_6","",58.41,58,0,764.00,14.58,52.3897,20,0,213.00,10.28,20.7129,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",50.00,17,13,0,2,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_7","",107.17,35,0,519.00,9.08,57.1351,47,0,354.00,28.87,12.2635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",50.00,17,6,0,5,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:20;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",21.89,8,0,80.00,2.67,29.9991,6,0,75.00,2.95,25.4220,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,5,2,2,0,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",71.11,32,1,336.00,11.20,30.0008,21,0,153.00,15.35,9.9670,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",60.00,18,8,7,2,0,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",56.26,45,2,600.00,15.48,38.7549,20,1,190.44,10.62,17.9375,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",60.00,16,13,0,3,1,"C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1PistolMob-AttackHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_4","",99.04,0,0,0.00,0.00,NaN,2,0,0.00,2.30,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",137.74,90,4,1051.00,40.33,26.0574,52,0,607.50,33.45,18.1609,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun}",120.00,32,11,0,6,1,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1PistolMob (5)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1SandMecha-MeleeHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:20"
"C1_Stage3_6","",77.61,29,0,225.00,9.68,23.2364,25,1,348.00,20.13,17.2850,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",60.00,19,2,5,2,0,"C1EliteTonpaMob (1)-Rush Attack:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",235.37,73,0,0.00,24.80,0.0000,30,0,0.00,21.72,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",120.00,33,12,16,3,1,"C1MidBoss-TangTang 1:40;C1MidBoss-KickKick 2:30;C1MidBoss-Taaang:20;C1MidBoss-KickKick 1:30"
"C1_Boss_1","",49.81,9,0,100.00,4.05,24.6926,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,0,0,1,0,"C1TonpaMobPrefab A-AttackHitbox:10"
"C1_Boss_2","",106.04,100,0,1135.00,37.35,30.3877,38,0,713.00,19.03,37.4618,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff}",110.00,35,1,0,2,1,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:20;C1SandMecha (1)-LandingImpactHitbox:50;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Boss_3","",54.33,36,0,413.00,11.32,36.4925,31,0,534.00,17.52,30.4849,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",50.00,16,2,0,3,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:20"
"C1_Boss_4","",132.21,70,0,765.00,24.02,31.8523,14,0,201.00,7.10,28.3104,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",110.00,29,12,10,4,0,"C1PistolMob (2)-AttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10;FallDamageArea-:40;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","",85.68,32,1,445.00,10.92,40.7603,22,1,171.00,14.22,12.0280,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",20.00,17,2,0,2,0,"C1EliteTonpaMob (1)-Attack:10;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","",32.83,28,1,323.00,9.38,34.4229,14,0,201.00,9.47,21.2321,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun}",10.00,12,2,0,1,0,"C1PistolMob (6)-AttackHitbox:10"
"C1_Boss_7","",382.68,76,4,1002.00,27.43,36.5246,35,0,256.50,29.10,8.8144,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",110.00,13,0,11,2,1,"C1Boss-CounterAttackHitbox:20;C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-DashAttackHitbox:30;C1Boss-FlameThrowerStartHitbox:10;C1Boss-FlameThrowerMainHitbox:10;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10;C1TonpaMobPrefab(Clone)-AttackHitbox:10;C1Boss-MeleeAttack3Hitbox:10"
"C2_Boss_1","",58.84,32,0,160.00,11.33,14.1168,19,0,112.50,13.43,8.3748,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,13,0,9,1,0,"C2GunnerMobPrefab-RangedAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;Player-슈아2 감전 스택 폭발:10;C2EliteMobPrefab (2)-JumpAttackHitBox:10"
"C2_Boss_2","",335.71,148,2,835.00,60.86,13.7191,90,2,899.69,80.95,11.1141,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff};{order:20,from:Staff,to:Shotgun};{order:21,from:Shotgun,to:Staff};{order:22,from:Staff,to:Shotgun};{order:23,from:Shotgun,to:Staff};{order:24,from:Staff,to:Shotgun};{order:25,from:Shotgun,to:Staff};{order:26,from:Staff,to:Shotgun};{order:27,from:Shotgun,to:Staff};{order:28,from:Staff,to:Shotgun};{order:29,from:Shotgun,to:Staff};{order:30,from:Staff,to:Shotgun};{order:31,from:Shotgun,to:Staff};{order:32,from:Staff,to:Shotgun};{order:33,from:Shotgun,to:Staff};{order:34,from:Staff,to:Shotgun};{order:35,from:Shotgun,to:Staff};{order:36,from:Staff,to:Shotgun}",250.00,103,0,57,2,2,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2EliteMobPrefab-JumpAttackHitBox:30;C2EliteMobPrefab-RushAttackHitBox:30;Player-슈아2 감전 스택 폭발:80;C2GunnerMobPrefab (1)-RangedAttackHitbox:30;C2ShieldMobPrefab-ShieldAttackHitbox:30;C2FlashBangExplosionPrefab(Clone)-C2FlashBangExplosionPrefab(Clone):0;C2ElecWhipmanPrefab-AttackHitBox:20;C2ElecWhipmanPrefab-LowAttackHitBox:20"
"C2_Boss_3","",57.54,16,0,75.00,5.48,13.6777,12,0,90.00,9.65,9.3260,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",20.00,10,0,2,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;Player-슈아2 감전 스택 폭발:10"
