SerialNumber,388e1248c07cfe77e5b3e49d257c37ca7d370c48
TotalPlayTime,2361.00
TotalDeathCount,2
TotalKilledEnemies,232
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",45.46,53,0,550.00,13.25,41.5096,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,11,3,3,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",9.78,15,0,150.00,3.48,43.0622,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,1,2,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",58.64,57,0,511.00,15.05,33.9534,22,0,144.00,20.25,7.1111,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,10,6,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (9)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",56.08,90,0,1040.00,21.70,47.9260,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,12,9,7,8,0,"C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",39.14,20,0,150.00,4.87,30.8217,20,0,189.00,14.00,13.5000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,3,1,2,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",58.54,74,0,838.00,16.58,50.5325,15,0,84.00,13.78,6.0943,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,10,10,0,6,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",62.76,5,0,0.00,1.98,0.0000,17,0,111.00,13.48,8.2323,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",20.00,4,3,1,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",106.59,4,0,0.00,4.32,0.0000,21,0,270.00,11.80,22.8816,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",100.00,12,3,13,3,1,"FallDamageArea-:60;C1PistolMob (1)-AttackHitbox:40"
"C1_Stage3_2","",51.59,24,0,340.00,7.75,43.8689,20,0,114.00,19.90,5.7287,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,3,3,2,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",43.16,28,0,320.00,8.25,38.7879,20,0,174.00,17.70,9.8305,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,7,3,1,1,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
