SerialNumber,af4a450a9ec2d9660e0c466fcee846bdce40955f
TotalPlayTime,3842.23
TotalDeathCount,32
TotalKilledEnemies,299
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",127.82,72,0,940.00,23.18,40.5465,8,0,105.00,4.48,23.4201,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",140.00,13,6,0,2,2,"C1TonpaMobPrefab (4)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:30;C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",15.33,9,0,170.00,2.70,62.9613,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,0,0,5,0,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",101.18,69,0,1109.00,20.48,54.1414,15,0,84.00,13.65,6.1538,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",130.00,2,1,20,0,1,"C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Attack:20;C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_4","",196.22,214,0,2980.00,64.60,46.1299,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",210.00,22,0,45,4,2,"C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:40;C1TonpaMobPrefab (4)-AttackHitbox:30;C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_5","",19.55,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,5,0,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",108.77,81,0,1395.00,24.83,56.1741,20,0,87.00,20.05,4.3391,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",130.00,3,0,13,0,1,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",72.36,2,0,1.00,0.73,1.3635,20,0,102.00,15.87,6.4286,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,3,0,0,1,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha-DashAttackHitbox:10"
"C1_Stage3_1","",68.07,13,0,150.00,4.88,30.7169,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",180.00,3,0,12,0,4,"FallDamageArea-:160;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",501.70,40,0,500.00,15.30,32.6802,21,0,114.00,16.80,6.7857,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",150.00,6,0,17,0,2,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage3_3","",44.27,32,0,390.00,9.58,40.6950,15,0,84.00,14.70,5.7144,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,1,0,5,0,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_4","",80.73,1,0,0.00,0.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",925.90,151,0,1729.00,48.10,35.9462,373,0,2706.50,308.18,8.7821,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Shotgun};{order:14,from:Shotgun,to:Shotgun};{order:15,from:Shotgun,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun}",740.00,40,0,21,7,8,"C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):30;C1SandMecha-MeleeHitbox:160;C1SandMecha-DashAttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:140;C1EliteTonpaMob-Rush Attack:110;C1TonpaMobPrefab-AttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:20;C1EliteTonpaMob-Attack:100;C1TonpaMobPrefab (8)-AttackHitbox:10;C1PistolMob (5)-AttackHitbox:50;C1TonpaMobPrefab (7)-AttackHitbox:10;C1SandMecha-LandingImpactHitbox:50"
"C1_Stage3_6","",402.68,65,0,810.00,21.42,37.8226,92,0,1080.00,76.78,14.0655,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun}",290.00,13,0,21,2,5,"C1EliteTonpaMob (1)-Rush Attack:50;C1GunnerMobPrefab-RangedAttackHitbox:10;C1SandMecha-DashAttackHitbox:20;C1SandMecha-MeleeHitbox:40;C1TonpaMobPrefab (4)-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:40;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob (1)-Attack:30;C1EliteTonpaMob-Attack:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_7","",422.62,182,0,0.00,68.15,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Staff};{order:6,from:Staff,to:Staff};{order:7,from:Staff,to:Staff}",350.00,23,0,57,1,6,"C1MidBoss-TangTang 1:90;C1MidBoss-KickKick 1:110;C1MidBoss-KickKick 2:60;C1MidBoss-RushKick:70;C1MidBoss-Taaang:10;C1MidBoss-TangTang 2:10"
"C1_Boss_1","",40.43,10,0,120.00,3.07,39.1306,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,0,0,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","",41.56,23,0,419.00,7.90,53.0386,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,4,0,0,0,1,"C1GunnerMobPrefab (3)-RangedAttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10;C1SandMecha (1)-MeleeHitbox:20"
