SerialNumber,33e0478bb8cf53d93968a45c6a7c7f46640fe8a7
TotalPlayTime,5562.41
TotalDeathCount,30
TotalKilledEnemies,374
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",105.30,51,0,480.00,21.82,22.0016,5,0,75.00,2.68,27.9508,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,30,10,26,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_2","",12.35,15,0,160.00,6.00,26.6667,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,1,1,0,0,""
"C1_Stage2_3","",418.33,92,0,517.00,29.88,17.3007,288,1,2516.50,137.90,18.2487,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Shotgun};{order:9,from:Shotgun,to:Shotgun}",560.00,112,38,49,12,7,"C1PistolMobForDashTutorial-AttackHitbox:160;C1PistolMob (1)-AttackHitbox:80;C1TonpaMobPrefab (6)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:70;C1EliteTonpaMob-Attack:40;FallDamageArea-:80;C1TonpaMobPrefab (4)-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;FallDamageArea (1)-:40;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",231.03,114,0,1505.00,39.13,38.4582,15,0,225.00,9.70,23.1951,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff}",320.00,47,28,44,7,5,"C1PistolMob-AttackHitbox:120;C1GunnerMobPrefab-RangedAttackHitbox:80;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (11)-AttackHitbox:30;C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (18)-AttackHitbox:10"
"C1_Stage2_5","",56.48,31,0,248.00,9.85,25.1774,14,0,84.00,11.38,7.3792,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,9,5,6,3,0,"C1EliteTonpaMob-Attack:10;FallDamageArea (4)-:20;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",151.47,161,0,1655.00,46.77,35.3889,16,0,84.00,12.48,6.7289,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",120.00,34,19,6,10,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",171.36,2,0,20.00,0.30,66.6830,59,0,210.00,48.53,4.3269,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",90.00,10,1,4,1,1,"C1SandMecha-MeleeHitbox:50;C1SandMecha (7)-MeleeHitbox:20;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10"
"C1_Stage3_1","",36.32,18,0,150.00,6.37,23.5596,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,9,5,4,2,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",54.75,31,0,370.00,10.85,34.1011,16,0,84.00,13.52,6.2146,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,13,0,5,2,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage3_3","",32.35,32,0,441.00,8.92,49.4595,5,0,33.00,2.25,14.6675,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,4,1,5,1,0,"C1EliteTonpaMob (1)-Rush Attack:10"
