SerialNumber,aed09b8f24ca7c545e82d9a75bc2697ce7d51b4c
TotalPlayTime,2786.16
TotalDeathCount,6
TotalKilledEnemies,279
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",52.37,38,0,470.00,12.05,39.0042,4,0,90.00,2.15,41.8600,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,14,4,0,3,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",11.37,11,0,150.00,3.67,40.9089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,4,0,3,1,0,""
"C1_Stage2_3","",45.70,55,0,484.00,18.95,25.5407,12,0,183.00,4.63,39.4956,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,15,4,6,5,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",62.37,67,0,1000.00,22.20,45.0449,5,0,60.00,3.22,18.6528,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,18,5,9,7,0,"C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",34.17,35,0,288.00,10.85,26.5438,5,0,34.00,3.03,11.2088,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,5,1,2,1,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",58.68,69,0,585.00,17.48,33.4604,15,0,393.00,6.88,57.0947,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",60.00,12,2,0,6,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:20;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",139.89,64,0,739.00,18.68,39.5537,35,0,298.50,18.35,16.2671,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff}",120.00,17,0,1,4,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10;C1SandMecha (2)-MeleeHitbox:20;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (2)-DashAttackHitbox:10;C1SandMecha (5)-MeleeHitbox:20;C1SandMecha (4)-MeleeHitbox:10"
"C1_Stage3_1","",22.17,10,0,150.00,5.35,28.0372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,0,3,0,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",49.02,54,0,607.00,16.92,35.8820,4,0,63.00,1.83,34.3640,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,10,2,5,4,1,"C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:20;C1EliteTonpaMob-Attack:10"
"C1_Stage3_3","",45.27,74,0,442.00,20.80,21.2500,8,0,33.00,4.33,7.6153,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,13,1,2,3,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:20;C1EliteTonpaMob (1)-Attack:10"
