SerialNumber,4d49852bdfed80248ce066118a30df83e2a57643
TotalPlayTime,2730.62
TotalDeathCount,4
TotalKilledEnemies,293
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",48.62,47,0,540.00,12.90,41.8606,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,10,2,1,3,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",10.34,10,0,150.00,3.48,43.0622,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",41.71,60,0,564.00,15.78,35.7336,8,0,93.00,4.13,22.5002,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,11,2,5,2,0,"C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_4","",56.54,78,0,1060.00,22.15,47.8555,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,19,9,7,6,0,"C1PistolMob-AttackHitbox:20;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",27.09,25,0,282.00,5.75,49.0435,5,0,33.00,1.88,17.5219,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,4,4,3,3,0,""
"C1_Stage2_6","",53.93,65,0,905.00,18.38,49.2290,6,0,33.00,2.93,11.2502,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,9,8,0,2,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",54.49,9,0,100.00,2.97,33.7071,5,0,6.00,3.18,1.8848,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,4,2,2,2,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",19.26,15,0,160.00,4.77,33.5660,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,2,2,1,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",34.89,29,0,400.00,8.82,45.3684,8,0,63.00,5.67,11.1176,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,7,4,3,2,0,"C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",29.01,40,0,460.00,12.48,36.8486,5,0,33.00,2.03,16.2296,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,6,3,0,1,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_4","",71.76,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,0,0,""
"C1_Stage3_5","",54.49,77,0,820.00,21.25,38.5882,20,0,108.00,9.58,11.2697,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",30.00,12,4,0,5,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_6","",52.31,31,0,337.00,11.12,30.3141,14,0,192.00,8.33,23.0402,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,8,1,19,1,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage3_7","",130.69,41,0,0.00,13.70,0.0000,15,0,0.00,12.63,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,12,6,0,2,0,"C1MidBoss-KickKick 2:10;C1MidBoss-TangTang 1:10"
"C1_Boss_1","",37.96,8,0,100.00,2.43,41.0956,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,1,0,1,0,""
"C1_Boss_2","",69.39,99,0,1141.00,31.37,36.3766,15,0,222.00,6.55,33.8916,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,22,0,0,4,0,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1SandMecha (1)-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_3","",46.36,60,0,869.00,18.43,47.1434,10,0,39.00,4.85,8.0411,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,9,2,0,1,0,"C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10"
"C1_Boss_4","",210.88,208,0,2528.00,62.08,40.7194,26,0,220.50,12.72,17.3391,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",230.00,45,24,5,9,3,"C1PistolMob (2)-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:40;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob (3)-AttackHitbox:60;FallDamageArea-:40;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (5)-RangedAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_5","",63.78,38,0,504.00,12.15,41.4818,15,0,90.00,7.77,11.5881,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",0.00,7,2,0,1,0,""
"C1_Boss_6","",34.11,37,0,454.00,10.12,44.8752,7,0,33.00,2.08,15.8406,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,3,4,3,0,"C1PistolMob (6)-AttackHitbox:30"
"C1_Boss_7","",331.68,127,0,661.00,37.65,17.5564,27,0,177.00,15.32,11.5561,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",90.00,17,4,2,3,0,"C1Boss-CounterAttackHitbox:30;C1CannonExplode(Clone)-C1CannonExplode(Clone):20;C1Boss-MeleeAttack2Hitbox :10;C1Boss-DashAttackHitbox:20;C1GunnerMobPrefab(Clone)-RangedAttackHitbox:10"
"C2_Boss_1","",48.51,44,0,245.00,14.55,16.8387,5,0,15.00,3.12,4.8128,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,15,4,12,2,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2EliteMobPrefab (2)-JumpAttackHitBox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Boss_2","",134.81,111,0,725.00,34.15,21.2304,16,0,82.50,11.00,7.4997,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",110.00,36,16,22,7,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2GunnerMobPrefab-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10;C2EliteMobPrefab (3)-RushAttackHitBox:10;Player-슈아2 감전 스택 폭발:50;C2ShieldMobPrefab-ShieldAttackHitbox:10;C2ElecWhipmanPrefab-AttackHitBox:10"
"C2_Boss_3","",74.29,16,0,120.00,6.78,17.6908,11,0,52.50,8.63,6.0813,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,2,9,0,0,"C2GunnerMobPrefab-RangedAttackHitbox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Boss_4","",47.41,23,0,85.00,9.18,9.2559,18,0,95.00,10.40,9.1345,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,11,0,14,0,0,"Player-슈아2 감전 스택 폭발:30;C2ElecWhipmanPrefab (1)-LowAttackHitBox:10;C2ElecWhipmanPrefab (1)-AttackHitBox:10"
"C2_Boss_5","",235.94,137,0,1030.00,46.27,22.2623,35,0,375.00,18.37,20.4174,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",190.00,44,8,19,12,1,"C2Boss-Kickshot-Kick:40;C2Boss-Electric Attack:40;C2Boss-Drillshot-Swing:40;C2Boss-Lineshot:20;FX_Explosion-Hitbox:30;C2Boss-Jumpshot:10;C2Boss-Drillshot-Gun1:10"
