SerialNumber,29ed574c8be605d5c934b8f8ed6059440701cac6
TotalPlayTime,3424.09
TotalDeathCount,19
TotalKilledEnemies,281
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",93.59,45,0,530.00,17.93,29.5540,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,18,11,22,1,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",12.99,13,0,150.00,4.25,35.2936,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,4,2,0,0,"C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",44.88,72,0,625.00,18.03,34.6579,6,0,33.00,2.83,11.6469,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,13,10,8,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_4","",57.44,80,0,1060.00,20.47,51.7911,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",60.00,16,16,10,3,0,"C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",29.03,17,0,170.00,3.92,43.4034,10,0,168.00,4.78,35.1220,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",20.00,6,5,3,3,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",68.96,82,0,843.00,22.98,36.6789,8,0,93.00,3.68,25.2492,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,23,16,0,5,0,"C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",54.84,10,0,101.00,3.62,27.9260,6,0,6.00,2.42,2.4828,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,4,1,2,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",47.84,12,0,150.00,5.97,25.1391,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,7,1,7,0,2,"FallDamageArea-:100;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",44.94,32,0,390.00,10.87,35.8907,10,0,63.00,5.60,11.2503,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",40.00,13,6,3,3,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",33.74,40,0,391.00,9.83,39.7616,11,0,94.00,4.72,19.9298,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",40.00,9,6,5,3,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Attack:10"
"C1_Stage3_4","",70.76,0,0,0.00,0.90,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,2,0,0,0,0,""
"C1_Stage3_5","",94.39,90,0,746.00,28.48,26.1910,32,0,213.00,16.18,13.1617,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",60.00,37,10,2,7,0,"C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:30;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_6","",146.13,44,0,375.00,24.02,15.6144,20,0,153.00,9.48,16.1335,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",60.00,39,4,28,2,0,"C1EliteTonpaMob (1)-Rush Attack:20;C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Stage3_7","",156.57,60,0,0.00,19.72,0.0000,9,0,0.00,5.63,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",90.00,24,7,2,4,0,"C1MidBoss-TangTang 1:30;C1MidBoss-KickKick 2:30;C1MidBoss-RushKick:10;C1MidBoss-TangTang 2:10;C1MidBoss-KickKick 1:10"
"C1_Boss_1","",54.28,10,0,100.00,5.57,17.9641,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,9,2,2,0,0,""
"C1_Boss_2","",104.44,82,0,896.00,30.25,29.6200,31,0,465.00,17.48,26.5969,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff}",70.00,40,1,4,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1SandMecha (1)-MeleeHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:20"
"C1_Boss_3","",180.33,136,0,1535.00,41.62,36.8840,53,0,675.00,31.15,21.6699,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff};{order:19,from:Staff,to:Shotgun};{order:20,from:Shotgun,to:Staff};{order:21,from:Staff,to:Shotgun};{order:22,from:Shotgun,to:Staff};{order:23,from:Staff,to:Shotgun};{order:24,from:Shotgun,to:Staff}",200.00,61,7,0,11,2,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (10)-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:30;C1PistolMob (1)-AttackHitbox:50;C1TonpaMobPrefab (7)-AttackHitbox:10;C1SandMecha-MeleeHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:40;C1EliteTonpaMob-Rush Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Boss_4","",133.58,82,0,877.00,25.72,34.1029,17,0,243.00,8.55,28.4213,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",140.00,28,6,15,5,1,"FallDamageArea-:40;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (8)-AttackHitbox:20;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMob (3)-AttackHitbox:10"
"C1_Boss_5","",85.14,34,0,335.00,10.63,31.5026,28,0,309.00,15.58,19.8281,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",50.00,23,2,2,3,0,"C1EliteTonpaMob (1)-Rush Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1SandMecha-MeleeHitbox:10"
"C1_Boss_6","",30.62,29,0,349.00,9.68,36.0413,10,0,153.00,7.20,21.2516,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",0.00,14,0,0,2,0,""
"C1_Boss_7","",298.91,84,0,724.00,28.45,25.4484,34,0,117.00,19.45,6.0155,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",60.00,15,1,1,3,1,"C1CannonExplode(Clone)-C1CannonExplode(Clone):10;C1Boss-CounterAttackHitbox:20;C1Boss-DashAttackHitbox:20;C1Boss-MeleeAttack1Hitbox:10"
"C2_Boss_1","",56.29,75,0,260.00,23.85,10.9013,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,20,6,2,3,0,"C2ShieldMobPrefab-ShieldAttackHitbox:20;C2GunnerMobPrefab (1)-RangedAttackHitbox:10;Player-슈아2 감전 스택 폭발:10"
"C2_Boss_2","",87.74,114,0,765.00,31.73,24.1071,8,0,45.00,4.95,9.0910,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",110.00,28,16,3,9,0,"C2GunnerMobPrefab (2)-RangedAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:20;Player-슈아2 감전 스택 폭발:70;C2ShieldMobPrefab (1)-ShieldAttackHitbox:10"
"C2_Boss_3","",52.16,34,0,170.00,10.60,16.0372,0,0,0.00,1.35,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",20.00,14,5,13,3,0,"C2ShieldMobPrefab-ShieldAttackHitbox:10;C2EliteMobPrefab-RushAttackHitBox:10"
"C2_Boss_4","",47.43,27,0,130.00,10.42,12.4793,12,0,52.50,8.13,6.4549,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",60.00,20,1,2,3,0,"C2ElecWhipmanPrefab (1)-LowAttackHitBox:20;C2ElecWhipmanPrefab (1)-AttackHitBox:10;Player-슈아2 감전 스택 폭발:30"
"C2_Boss_5","",647.56,293,0,2280.00,84.00,27.1435,510,0,3915.00,168.83,23.1884,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",960.00,170,40,30,38,13,"C2Boss-Kickshot-Kick:250;C2Boss-Electric Attack:170;C2Boss-Drillshot-Swing:170;FX_Explosion-Hitbox:60;C2Boss-Kickshot-Gun:30;Player-슈아2 감전 스택 폭발:70;C2Boss-Lineshot:100;C2Boss-Jumpshot:80;C2Boss-Drillshot-Gun1:20;C2Boss-Drillshot-Gun2:10"
