SerialNumber,f82e498aec131805002c87be6af112a2f60826c4
TotalPlayTime,3484.82
TotalDeathCount,12
TotalKilledEnemies,309
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",123.78,58,0,630.00,23.22,27.1361,10,1,165.00,9.55,17.2774,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",110.00,15,2,16,2,1,"C1PistolMobForDashTutorial-AttackHitbox:70;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",17.43,17,0,150.00,5.17,29.0304,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,0,2,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",81.58,63,0,730.00,21.77,33.5365,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,23,9,8,5,1,"C1PistolMobForDashTutorial-AttackHitbox:50;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage2_4","",244.72,167,0,2740.00,68.72,39.8742,5,0,90.00,2.83,31.7629,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",250.00,56,5,64,3,4,"C1PistolMob-AttackHitbox:60;C1GunnerMobPrefab-RangedAttackHitbox:60;C1TonpaMobPrefab (12)-AttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:30;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (15)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_5","",105.33,58,0,346.00,23.07,15.0000,3,0,0.00,1.55,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",120.00,19,0,27,2,1,"C1EliteTonpaMob-Rush Attack:40;FallDamageArea (4)-:40;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:20;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",116.73,65,0,860.00,30.20,28.4766,26,0,75.00,24.07,3.1163,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",60.00,29,0,24,2,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage2_7","",83.98,105,0,96.00,27.12,3.5402,6,0,4.50,3.37,1.3365,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,19,0,2,7,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",32.55,11,0,150.00,5.62,26.7038,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,7,0,7,0,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",121.65,39,0,530.00,18.58,28.5188,17,0,114.00,16.17,7.0517,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",120.00,23,0,30,1,1,"C1PistolMob (2)-AttackHitbox:50;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",101.97,25,0,371.00,12.23,30.3268,47,0,474.00,26.03,18.2079,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",110.00,19,0,29,1,1,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:80"
