SerialNumber,f654709bec6e570dabdd61b0c9da8db5caecf235
TotalPlayTime,4236.59
TotalDeathCount,10
TotalKilledEnemies,322
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",70.59,42,0,400.00,13.37,29.9250,7,0,150.00,4.47,33.5825,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,5,3,0,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_2","",10.47,14,0,150.00,3.28,45.6854,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,1,1,2,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",71.20,54,0,521.00,15.83,32.9052,15,0,144.00,12.42,11.5973,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,15,13,5,4,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",82.79,97,0,1240.00,27.25,45.5042,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",80.00,18,16,11,6,1,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;FallDamageArea (3)-:20"
"C1_Stage2_5","",63.34,20,0,230.00,5.53,41.5654,22,0,87.00,20.35,4.2752,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,10,8,3,3,0,"C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_6","",80.90,58,0,846.00,17.32,48.8544,15,0,84.00,14.88,5.6440,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,17,17,0,3,0,"C1TonpaMobPrefab (3)-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",78.26,4,0,2.00,1.88,1.0619,25,0,102.00,21.80,4.6789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,6,6,0,0,0,"C1SandMecha-MeleeHitbox:30"
"C1_Stage3_1","",83.78,21,0,150.00,10.23,14.6581,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",150.00,10,3,10,0,1,"FallDamageArea-:140;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",154.15,70,0,810.00,25.43,31.8486,19,0,111.00,14.98,7.4083,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",180.00,29,18,9,7,3,"FallDamageArea (1)-:60;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:70;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",46.14,47,0,409.00,13.68,29.8909,12,0,81.00,9.70,8.3505,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,11,10,0,3,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
