SerialNumber,f82e498aec131805002c87be6af112a2f60826c4
TotalPlayTime,5420.16
TotalDeathCount,35
TotalKilledEnemies,488
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",59.50,50,0,540.00,15.77,34.2494,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,2,0,3,0,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",14.82,11,0,150.00,3.52,42.6533,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,0,3,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",487.30,113,0,1622.00,38.00,42.6841,203,0,2515.50,83.62,30.0839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff}",720.00,88,9,76,6,9,"C1PistolMobForDashTutorial-AttackHitbox:150;C1TonpaMobPrefab (5)-AttackHitbox:40;C1PistolMob (1)-AttackHitbox:160;C1TonpaMobPrefab (6)-AttackHitbox:30;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob-Rush Attack:80;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:30;C1TonpaMobPrefab (10)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:60;C1TonpaMobPrefab (8)-AttackHitbox:50;FallDamageArea (1)-:20;C1TonpaMobPrefab (4)-AttackHitbox:40;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_4","",193.15,135,0,1950.00,50.00,39.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",280.00,62,10,28,7,3,"C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:50;FallDamageArea (2)-:20;C1PistolMob (2)-AttackHitbox:40;C1TonpaMobPrefab (15)-AttackHitbox:20;FallDamageArea (3)-:60;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_5","",47.73,20,0,230.00,7.73,29.7407,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,5,2,3,0,0,"C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_6","",103.10,53,0,800.00,21.18,37.7653,17,0,114.00,15.05,7.5748,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",110.00,21,1,4,0,0,"C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",76.28,0,0,0.00,0.00,NaN,22,0,102.00,18.93,5.3873,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,7,0,0,0,0,"C1SandMecha-MeleeHitbox:40"
"C1_Stage3_1","",26.87,18,0,150.00,7.30,20.5478,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,7,0,3,0,0,"C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",60.77,25,0,380.00,11.23,33.8277,11,0,81.00,9.70,8.3506,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,13,0,5,1,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",126.12,24,0,340.00,9.53,35.6644,89,0,865.00,42.82,20.2025,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff}",160.00,37,0,2,1,2,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:60;C1TonpaMobPrefab (1)-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:40;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage3_4","",74.00,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",239.20,74,0,874.00,25.75,33.9409,109,0,762.50,88.97,8.5706,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",180.00,49,0,2,4,1,"C1SandMecha-MeleeHitbox:60;C1PistolMob (5)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:80;C1TonpaMobPrefab (8)-AttackHitbox:20"
"C1_Stage3_6","",302.48,18,0,150.00,7.58,19.7798,54,0,489.00,44.48,10.9929,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",170.00,34,0,11,2,1,"C1EliteTonpaMob (1)-Rush Attack:60;C1EliteTonpaMob-Attack:20;C1EliteTonpaMob-Rush Attack:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1SandMecha-MeleeHitbox:10"
"C1_Stage3_7","",219.45,57,0,0.00,21.63,0.0000,20,0,0.00,11.80,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff}",140.00,22,0,12,1,1,"C1MidBoss-TangTang 1:50;C1MidBoss-KickKick 1:40;C1MidBoss-KickKick 2:10;C1MidBoss-TangTang 2:20;C1MidBoss-Taaang:20"
"C1_Boss_1","",65.95,12,0,100.00,4.37,22.8980,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,0,0,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
"C1_Boss_2","",412.93,183,0,2181.00,60.58,35.9996,142,0,1205.00,107.82,11.1764,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff};{order:10,from:Staff,to:Shotgun};{order:11,from:Shotgun,to:Staff};{order:12,from:Staff,to:Shotgun};{order:13,from:Shotgun,to:Staff};{order:14,from:Staff,to:Shotgun};{order:15,from:Shotgun,to:Staff};{order:16,from:Staff,to:Shotgun};{order:17,from:Shotgun,to:Staff};{order:18,from:Staff,to:Shotgun};{order:19,from:Shotgun,to:Staff}",430.00,72,0,5,11,3,"C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:60;C1SandMecha (1)-MeleeHitbox:110;C1TonpaMobPrefab-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):20;C1GunnerMobPrefab (3)-RangedAttackHitbox:60;C1GunnerMobPrefab-RangedAttackHitbox:40;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Attack:10;C1SandMecha (1)-LandingImpactHitbox:50;C1TonpaMobPrefab (1)-AttackHitbox:10;C1SandMecha (1)-DashAttackHitbox:10;C1GunnerMobPrefab (8)-RangedAttackHitbox:10"
"C1_Boss_3","",139.98,61,0,710.00,23.37,30.3851,42,0,186.00,34.63,5.3706,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",110.00,27,0,4,3,0,"C1SandMecha-MeleeHitbox:30;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (4)-RangedAttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Boss_4","",508.50,360,0,3797.00,123.80,30.6704,15,0,84.00,13.02,6.4532,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",740.00,108,3,55,14,9,"C1PistolMob (2)-AttackHitbox:130;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):30;C1GunnerMobPrefab (8)-RangedAttackHitbox:40;C1GunnerMobPrefab (5)-RangedAttackHitbox:40;FallDamageArea-:220;C1GunnerMobPrefab (6)-RangedAttackHitbox:30;C1TonpaMobPrefab (1)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1EliteTonpaMob-Rush Attack:50;C1GunnerMobPrefab-RangedAttackHitbox:50;C1PistolMob (3)-AttackHitbox:50;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Boss_5","",131.28,27,0,312.00,10.68,29.2037,58,0,294.00,46.95,6.2619,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",90.00,22,0,1,3,0,"C1EliteTonpaMob (1)-Rush Attack:10;C1SandMecha (1)-MeleeHitbox:40;C1SandMecha-MeleeHitbox:40"
"C1_Boss_6","",63.25,48,0,777.00,14.78,52.5631,14,0,84.00,11.70,7.1795,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,13,0,1,2,1,"C1PistolMob (6)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob (2)-Rush Attack:30"
