SerialNumber,8e8b51d4a16a977cca44afdaf99c7451573e8a07
TotalPlayTime,4668.67
TotalDeathCount,13
TotalKilledEnemies,268
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",78.73,44,0,410.00,15.20,26.9737,11,0,150.00,6.25,24.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",30.00,14,4,0,4,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",13.28,8,0,80.00,2.70,29.6295,2,0,90.00,0.80,112.5017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,5,4,3,1,0,""
"C1_Stage2_3","",55.17,63,0,492.00,16.82,29.2566,19,0,168.00,11.80,14.2372,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",30.00,15,10,5,9,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10"
"C1_Stage2_4","",69.80,70,0,850.00,21.63,39.2907,10,0,225.00,7.28,30.8925,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",70.00,21,10,8,7,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:10"
"C1_Stage2_5","",44.00,36,0,260.00,10.48,24.8020,9,0,63.00,3.10,20.3211,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",20.00,8,4,5,3,0,"C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",52.15,74,0,904.00,20.42,44.2776,5,0,18.00,1.77,10.1898,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,19,7,0,7,0,"C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",80.89,34,0,635.00,11.50,55.2162,20,0,198.00,13.82,14.3304,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",60.00,10,0,3,0,0,"C1SandMecha-MeleeHitbox:20;C1SandMecha (4)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (3)-MeleeHitbox:10"
"C1_Stage3_1","",28.37,11,0,150.00,4.40,34.0917,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,4,1,2,1,0,"FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",70.10,50,0,580.00,18.17,31.9267,3,0,3.00,1.33,2.2499,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",70.00,17,4,6,4,1,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",27.60,50,0,470.00,13.68,34.3489,4,0,18.00,1.42,12.7063,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,12,4,0,4,0,"C1PistolMob-AttackHitbox:10"
