SerialNumber,3edb7835d10e220537b3c31ce9cad226c44af67b
TotalPlayTime,4908.90
TotalDeathCount,27
TotalKilledEnemies,345
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",70.73,47,0,540.00,18.65,28.9545,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,13,1,0,0,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",12.79,13,0,150.00,4.07,36.8865,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,1,3,0,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",61.16,6,0,80.00,3.48,22.9653,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",140.00,8,3,19,1,2,"C1PistolMobForDashTutorial-AttackHitbox:60;C1PistolMob (1)-AttackHitbox:40;FallDamageArea (1)-:20;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10"
"C1_Stage2_4","",48.68,38,0,560.00,12.47,44.9206,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,13,5,13,2,0,"C1PistolMob-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_5","",31.54,12,0,150.00,3.85,38.9613,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,2,5,2,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",167.33,79,0,985.00,24.78,39.7443,91,0,1179.00,40.28,29.2673,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",220.00,38,8,11,4,3,"C1PistolMob-AttackHitbox:110;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage2_7","",68.34,12,0,100.00,3.85,25.9742,10,0,6.00,5.77,1.0404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,2,0,5,0,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",38.78,9,0,150.00,4.68,32.0284,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,5,0,6,0,1,"FallDamageArea-:60;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",80.96,35,0,455.00,17.00,26.7651,3,0,3.00,1.47,2.0454,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,18,0,31,0,0,"C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (3)-AttackHitbox:10;FallDamageArea (1)-:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",47.68,50,0,700.00,14.97,46.7710,4,0,18.00,1.65,10.9089,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,5,0,12,0,1,"C1TonpaMobPrefab (1)-AttackHitbox:20;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
