SerialNumber,e0275b9fa409d795b05b6dc6f08cb4596b32393c
TotalPlayTime,4748.97
TotalDeathCount,8
TotalKilledEnemies,157
TotalClearedBosses,0

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",76.50,29,0,270.00,8.73,30.9184,23,0,300.00,14.93,20.0896,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",50.00,13,4,1,3,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",11.85,10,0,150.00,3.73,40.1752,1,0,0.00,1.10,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,4,0,3,0,0,""
"C1_Stage2_3","",57.20,51,0,551.00,16.98,32.4425,15,0,153.00,10.25,14.9275,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun}",90.00,18,10,6,2,1,"FallDamageArea-:40;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:30"
"C1_Stage2_4","",95.27,75,0,845.00,21.72,38.9113,49,0,705.00,22.90,30.7871,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun}",130.00,40,16,10,7,1,"C1PistolMob-AttackHitbox:30;C1TonpaMobPrefab (11)-AttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:30;C1TonpaMobPrefab (12)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",43.90,23,0,148.00,7.03,21.0438,22,0,186.00,14.75,12.6100,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",40.00,12,3,3,2,0,"C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",70.95,66,0,700.00,21.87,32.0129,20,0,276.00,12.75,21.6471,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",20.00,23,4,0,4,0,"C1PistolMob-AttackHitbox:20"
"C1_Stage2_7","",120.01,23,0,163.00,6.73,24.2077,23,0,76.50,14.35,5.3312,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",50.00,13,0,13,1,1,"C1SandMecha-MeleeHitbox:10;C1SandMecha (5)-MeleeHitbox:10;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",28.25,8,0,90.00,3.85,23.3790,3,0,70.00,3.28,21.3206,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",50.00,8,1,11,0,0,"FallDamageArea-:40;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",92.42,42,0,650.00,21.47,30.2790,25,0,318.00,15.55,20.4491,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun}",180.00,26,6,6,6,3,"C1PistolMob (2)-AttackHitbox:70;FallDamageArea (1)-:60;C1TonpaMobPrefab (4)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",32.00,29,0,390.00,8.37,46.6107,11,0,108.00,7.25,14.8966,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",30.00,9,0,4,1,0,"C1PistolMob-AttackHitbox:30"
"C1_Stage3_4","",323.05,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,0,0,2,0,0,""
"C1_Stage3_5","",86.28,75,0,636.00,24.12,26.3707,40,0,393.50,21.60,18.2171,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun}",90.00,23,0,1,3,1,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10;C1PistolMob (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage3_6","",264.09,55,0,143.00,22.08,6.4754,27,0,436.50,23.62,18.4838,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",60.00,38,0,131,1,1,"C1EliteTonpaMob (1)-Rush Attack:20;C1TonpaMobPrefab-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
