SerialNumber,db1f20244e2ff10dc89ec2984df487233a8a70e9
TotalPlayTime,3568.36
TotalDeathCount,15
TotalKilledEnemies,302
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",57.20,49,0,540.00,15.62,34.5782,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,8,3,0,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:20"
"C1_Stage2_2","",11.78,16,0,150.00,4.45,33.7082,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,2,0,2,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_3","",63.98,64,0,519.00,18.58,27.9281,15,0,144.00,12.62,11.4134,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,13,5,6,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;FallDamageArea-:20;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",118.83,160,0,1810.00,41.82,43.2842,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",190.00,25,4,14,6,2,"C1PistolMob-AttackHitbox:50;C1TonpaMobPrefab (11)-AttackHitbox:20;C1GunnerMobPrefab-Hitboxes:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;FallDamageArea (3)-:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10"
"C1_Stage2_5","",52.37,23,0,230.00,8.03,28.6310,18,0,84.00,15.38,5.4604,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,7,4,3,1,0,"C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",75.90,87,0,861.00,26.47,32.5314,15,0,84.00,12.62,6.6578,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,14,2,0,2,0,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_7","",69.21,1,0,0.00,0.90,0.0000,18,0,111.00,15.32,7.2470,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,5,2,1,0,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (3)-MeleeHitbox:10"
"C1_Stage3_1","",49.48,16,0,160.00,6.78,23.5885,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",100.00,6,0,6,0,1,"FallDamageArea-:80;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",127.33,23,0,280.00,8.62,32.4960,73,0,727.00,41.47,17.5322,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Shotgun};{order:4,from:Shotgun,to:Staff}",230.00,28,14,11,5,4,"C1PistolMob (2)-AttackHitbox:80;FallDamageArea (1)-:40;C1TonpaMobPrefab (4)-AttackHitbox:40;C1TonpaMobPrefab (5)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob-Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",64.75,56,0,650.00,19.08,34.0615,18,0,114.00,14.15,8.0566,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,17,5,4,3,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
