SerialNumber,0265f9426fa3f882336d124fddba9d68a573da79
TotalPlayTime,5694.31
TotalDeathCount,35
TotalKilledEnemies,337
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",56.42,53,0,530.00,15.33,34.5649,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,10,4,2,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:30"
"C1_Stage2_2","",13.67,13,0,150.00,4.08,36.7349,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,2,0,0,"FallDamageArea-:20"
"C1_Stage2_3","",506.55,132,0,1495.00,39.77,37.5947,202,0,2646.00,72.47,36.5132,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff};{order:15,from:Staff,to:Shotgun};{order:16,from:Shotgun,to:Staff};{order:17,from:Staff,to:Shotgun};{order:18,from:Shotgun,to:Staff}",760.00,1,1,94,0,10,"C1PistolMobForDashTutorial-AttackHitbox:180;C1TonpaMobPrefab (4)-AttackHitbox:20;FallDamageArea-:40;C1TonpaMobPrefab (5)-AttackHitbox:40;C1TonpaMobPrefab (9)-AttackHitbox:30;C1TonpaMobPrefab (7)-AttackHitbox:40;C1EliteTonpaMob-Rush Attack:110;C1EliteTonpaMob-Attack:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1PistolMob (1)-AttackHitbox:80;C1TonpaMobPrefab (6)-AttackHitbox:30;C1TonpaMobPrefab (10)-AttackHitbox:40;FallDamageArea (1)-:20;C1GunnerMobPrefab-RangedAttackHitbox:60;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_4","",127.65,86,0,1250.00,25.12,49.7677,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",130.00,0,0,31,0,1,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:50;C1TonpaMobPrefab (11)-AttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",63.75,24,0,265.00,7.67,34.5649,10,0,66.00,6.45,10.2326,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,0,0,9,0,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",122.40,89,0,1421.00,25.92,54.8297,6,0,33.00,2.78,11.8563,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",140.00,0,0,26,0,1,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab (2)-RangedAttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",80.66,9,0,3.00,3.50,0.8571,14,0,111.00,9.27,11.9785,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",20.00,0,0,1,0,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",226.07,13,0,150.00,4.73,31.6897,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",600.00,4,1,25,1,13,"FallDamageArea-:600"
"C1_Stage3_2","",59.53,42,0,395.00,15.75,25.0792,8,0,81.00,4.50,18.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,10,0,9,0,0,"C1PistolMob (2)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_3","",41.77,59,0,473.00,16.40,28.8410,6,0,3.00,3.88,0.7725,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,8,0,4,1,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:20"
