SerialNumber,274dc33edc55f94d31454e84ff24eb20221c9773
TotalPlayTime,3416.00
TotalDeathCount,4
TotalKilledEnemies,252
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",78.39,46,0,540.00,14.98,36.0397,1,0,0.00,0.87,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",50.00,8,1,3,1,0,"C1PistolMobForDashTutorial-AttackHitbox:40;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",12.62,10,0,150.00,3.20,46.8721,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,2,2,1,0,""
"C1_Stage2_3","",62.02,67,0,580.00,20.63,28.1098,10,0,66.00,9.22,7.1609,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,20,11,6,7,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",67.27,83,0,1070.00,24.57,43.5549,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,22,14,7,6,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_5","",57.89,59,0,269.00,18.52,14.5275,8,0,51.00,6.97,7.3206,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,12,5,3,2,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",72.98,65,0,848.00,18.87,44.9463,14,0,84.00,11.58,7.2518,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,11,7,3,3,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",81.50,16,0,30.00,5.48,5.4711,17,0,72.00,12.08,5.9588,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,5,3,3,1,0,"C1SandMecha-MeleeHitbox:50"
"C1_Stage3_1","",27.94,14,0,160.00,5.28,30.2847,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,2,6,2,0,"C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",55.06,33,0,371.00,12.58,29.4836,12,0,81.00,9.63,8.4083,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,12,8,4,4,0,"C1PistolMob (2)-AttackHitbox:10;FallDamageArea (1)-:20"
"C1_Stage3_3","",43.03,45,0,444.00,13.47,32.9700,8,0,36.00,6.03,5.9669,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,9,6,3,3,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_4","",95.83,1,0,0.00,0.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,3,0,0,""
"C1_Stage3_5","",110.79,88,0,653.00,29.35,22.2481,33,0,309.00,21.82,14.1635,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",60.00,26,10,9,9,0,"C1SandMecha-MeleeHitbox:20;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_6","",101.73,50,0,460.00,16.43,27.9921,10,0,72.00,5.00,14.3997,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,15,5,21,5,0,"C1EliteTonpaMob-Rush Attack:10"
