SerialNumber,474ff952152123230b2750b36bbec164099e460d
TotalPlayTime,5468.06
TotalDeathCount,50
TotalKilledEnemies,480
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",190.03,54,0,510.00,21.40,23.8316,76,0,650.00,30.23,21.4995,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun}",180.00,38,22,0,2,3,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:40;C1PistolMobForDashTutorial-AttackHitbox:80;C1TonpaMobPrefab-AttackHitbox:30;C1TonpaMobPrefab (2)-AttackHitbox:20"
"C1_Stage2_2","",16.45,16,0,150.00,5.65,26.5491,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,5,3,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",164.62,150,0,1277.00,45.25,28.2208,37,0,297.00,30.30,9.8020,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",270.00,54,36,14,9,3,"C1PistolMobForDashTutorial-AttackHitbox:90;C1PistolMob (1)-AttackHitbox:60;C1EliteTonpaMob-Rush Attack:40;C1EliteTonpaMob-Attack:30;C1TonpaMobPrefab (4)-AttackHitbox:20;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_4","",808.55,203,0,2960.00,69.97,42.3060,130,0,1800.00,46.95,38.3389,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",710.00,104,55,51,8,12,"C1PistolMob-AttackHitbox:260;C1TonpaMobPrefab (11)-AttackHitbox:50;C1TonpaMobPrefab (12)-AttackHitbox:50;C1GunnerMobPrefab (1)-RangedAttackHitbox:40;C1PistolMob (2)-AttackHitbox:70;C1TonpaMobPrefab (16)-AttackHitbox:40;C1TonpaMobPrefab (14)-AttackHitbox:20;C1TonpaMobPrefab (15)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:80;C1TonpaMobPrefab (13)-AttackHitbox:20;C1TonpaMobPrefab (18)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;FallDamageArea (3)-:20;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_5","",55.03,23,0,237.00,8.88,26.6793,15,0,84.00,14.82,5.6693,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,9,5,7,0,0,"C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:30"
"C1_Stage2_6","",107.67,74,0,1019.00,26.68,38.1886,30,0,164.00,19.83,8.2688,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",120.00,28,19,3,2,1,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10"
"C1_Stage2_7","",73.15,0,0,0.00,1.35,0.0000,21,0,102.00,18.45,5.5285,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,8,2,3,0,0,"C1SandMecha-MeleeHitbox:30"
"C1_Stage3_1","",31.42,14,1,150.00,6.87,21.8446,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,6,2,3,2,0,"FallDamageArea-:20"
"C1_Stage3_2","",63.28,34,0,470.00,13.72,34.2633,15,0,114.00,12.20,9.3443,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",80.00,12,5,3,0,1,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;FallDamageArea (1)-:40;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",53.82,71,2,754.00,23.37,32.2675,3,0,18.00,1.07,16.8753,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",70.00,18,12,0,3,1,"C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10"
