SerialNumber,7f64861400120846097c0ce03de3d9679ace3934
TotalPlayTime,4364.14
TotalDeathCount,14
TotalKilledEnemies,291
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",55.43,42,0,540.00,14.10,38.2976,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,7,1,0,1,0,"C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (3)-AttackHitbox:10"
"C1_Stage2_2","",13.50,14,0,160.00,3.67,43.6369,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,3,0,3,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",125.80,138,0,1145.00,38.42,29.8049,20,0,117.00,15.03,7.7827,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",140.00,27,15,8,15,1,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:20;C1GunnerMobPrefab (1)-RangedAttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Attack:10"
"C1_Stage2_4","",94.98,89,0,1320.00,30.25,43.6364,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",120.00,21,3,10,2,2,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (11)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:40;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",51.73,9,0,90.00,4.00,22.5000,23,0,264.00,19.50,13.5385,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",30.00,8,1,3,0,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",66.38,62,0,860.00,20.98,40.9849,12,0,81.00,9.43,8.5865,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,18,2,0,2,0,"C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",56.22,4,0,50.00,1.08,46.1573,11,0,51.00,6.42,7.9483,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,2,0,0,1,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",73.33,15,0,150.00,6.98,21.4806,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",130.00,5,0,15,0,2,"FallDamageArea-:120;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",71.17,56,0,620.00,19.02,32.6023,5,0,33.00,2.88,11.4452,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",100.00,16,2,5,5,2,"C1PistolMob (2)-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;FallDamageArea (1)-:40;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",33.43,46,0,471.00,13.68,34.4217,4,0,18.00,2.57,7.0130,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,8,0,0,2,0,""
