SerialNumber,6518d53dc42feab2329c1e6d6666a04a4003ae65
TotalPlayTime,3253.01
TotalDeathCount,13
TotalKilledEnemies,276
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",57.08,48,0,500.00,13.38,37.3602,2,0,45.00,1.75,25.7134,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,12,3,0,4,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",13.43,13,0,150.00,4.12,36.4375,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,1,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",54.15,68,0,553.00,20.02,27.6268,15,0,111.00,7.30,15.2056,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",50.00,16,6,5,3,0,"C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",70.45,99,0,1030.00,28.52,36.1191,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,22,5,9,2,0,"C1PistolMob-AttackHitbox:40;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",35.88,28,0,293.00,8.40,34.8806,5,0,33.00,2.60,12.6921,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,6,4,3,1,0,"C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",55.45,63,0,902.00,20.05,44.9876,5,0,48.00,2.28,21.0220,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,18,1,2,2,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_7","",136.28,11,0,110.00,4.82,22.8375,36,0,200.50,23.48,8.5380,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff}",70.00,15,0,0,1,1,"C1SandMecha (1)-LandingImpactHitbox:50;C1SandMecha-MeleeHitbox:10;C1SandMecha (1)-MeleeHitbox:10"
"C1_Stage3_1","",56.15,11,0,170.00,3.78,44.9355,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",120.00,2,0,7,0,2,"FallDamageArea-:100;C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",78.88,36,0,445.00,13.38,33.2504,21,0,321.00,10.27,31.2664,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Shotgun};{order:5,from:Shotgun,to:Staff};{order:6,from:Staff,to:Shotgun};{order:7,from:Shotgun,to:Staff};{order:8,from:Staff,to:Shotgun};{order:9,from:Shotgun,to:Staff}",110.00,21,0,3,3,2,"C1PistolMob (2)-AttackHitbox:70;FallDamageArea (1)-:40"
"C1_Stage3_3","",38.08,43,0,441.00,13.07,33.7491,9,0,78.00,4.78,16.3062,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,10,0,3,1,0,"C1PistolMob-AttackHitbox:30;C1EliteTonpaMob (1)-Rush Attack:10"
"C1_Stage3_4","",96.60,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",78.45,66,1,655.00,21.87,29.9536,35,1,373.44,19.05,19.6031,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff};{order:13,from:Staff,to:Shotgun};{order:14,from:Shotgun,to:Staff}",50.00,22,0,0,3,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1PistolMob (5)-AttackHitbox:20"
"C1_Stage3_6","",82.05,35,2,475.00,12.67,37.4994,13,0,87.00,5.57,15.6288,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,9,0,12,3,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_7","",182.29,43,1,0.00,16.00,0.0000,16,2,0.00,13.40,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",70.00,24,5,6,6,0,"C1MidBoss-TangTang 1:30;C1MidBoss-RushKick:20;C1MidBoss-KickKick 2:10;C1MidBoss-KickKick 1:10"
"C1_Boss_1","",38.38,6,0,100.00,1.87,53.5705,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,0,1,0,""
"C1_Boss_2","",120.02,112,1,1376.00,39.23,35.0718,31,1,512.38,16.00,32.0232,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun};{order:12,from:Shotgun,to:Staff}",120.00,36,0,0,3,1,"C1SandMecha (1)-LandingImpactHitbox:50;C1TonpaMobPrefab (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Boss_3","",61.40,53,1,756.00,20.17,37.4872,22,0,147.00,11.45,12.8385,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",30.00,21,0,0,2,0,"C1PistolMob (1)-AttackHitbox:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10"
"C1_Boss_4","",152.65,91,1,1090.00,29.75,36.6391,10,0,153.00,5.18,29.5176,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",130.00,30,8,11,8,2,"C1PistolMob (2)-AttackHitbox:60;C1TonpaMobPrefab (1)-AttackHitbox:10;FallDamageArea-:20;C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1PistolMob (3)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Boss_5","",76.27,37,1,453.00,12.40,36.5311,20,1,215.38,9.73,22.1285,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",10.00,12,0,1,2,0,"C1SandMecha-MeleeHitbox:10"
