SerialNumber,64ea1355691366509d41cbad1d322bab9b53e8e5
TotalPlayTime,3792.99
TotalDeathCount,3
TotalKilledEnemies,260
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",117.54,54,0,550.00,16.05,34.2677,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,11,6,0,5,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",26.44,9,0,150.00,3.78,39.6477,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,4,0,5,1,1,"FallDamageArea-:40"
"C1_Stage2_3","",51.30,59,0,585.00,19.10,30.6282,10,0,66.00,9.22,7.1610,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,17,5,6,3,0,"C1PistolMob (1)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",157.80,157,0,2010.00,48.83,41.1610,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",150.00,41,19,16,6,1,"C1PistolMob-AttackHitbox:50;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10"
"C1_Stage2_5","",116.92,25,0,232.00,8.77,26.4637,15,0,84.00,14.07,5.9716,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,7,4,2,1,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",128.96,70,0,865.00,17.97,48.1450,15,0,84.00,14.40,5.8333,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,16,5,0,7,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",81.92,4,0,0.00,1.68,0.0000,30,0,136.50,27.53,4.9576,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",50.00,9,1,0,1,0,"C1SandMecha-MeleeHitbox:10;C1SandMecha-DashAttackHitbox:10;C1SandMecha (4)-MeleeHitbox:30"
"C1_Stage3_1","",22.69,14,0,150.00,4.88,30.7177,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,4,1,3,0,0,"C1PistolMob (1)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",127.14,36,0,441.00,13.32,33.1167,4,0,18.00,1.67,10.8003,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,11,1,14,2,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_3","",55.54,24,0,374.00,8.07,46.3637,7,0,123.00,3.43,35.8264,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",20.00,8,2,0,1,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage3_4","",515.22,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",0.00,0,0,0,0,0,""
"C1_Stage3_5","",84.96,70,0,763.00,22.85,33.3919,21,0,183.00,11.70,15.6404,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff};{order:9,from:Staff,to:Shotgun};{order:10,from:Shotgun,to:Staff};{order:11,from:Staff,to:Shotgun}",40.00,17,9,0,2,0,"C1SandMecha-MeleeHitbox:10;C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage3_6","",226.76,38,0,393.00,14.93,26.3178,6,0,24.00,2.83,8.4701,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",10.00,9,0,15,0,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
