SerialNumber,f8e1050a64105ed09ce87eb78bcb6ba6e7ea93ce
TotalPlayTime,6463.09
TotalDeathCount,38
TotalKilledEnemies,410
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",130.97,37,0,390.00,11.28,34.5643,39,0,480.00,25.12,19.1110,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff}",110.00,23,5,0,5,2,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:30;C1PistolMobForDashTutorial-AttackHitbox:40"
"C1_Stage2_2","",11.32,5,0,80.00,2.40,33.3330,3,0,90.00,1.28,70.1270,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,4,1,0,1,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",90.68,82,0,878.00,27.37,32.0826,20,0,183.00,9.27,19.7482,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",140.00,29,10,7,6,2,"FallDamageArea-:80;C1PistolMobForDashTutorial-AttackHitbox:30;C1TonpaMobPrefab (4)-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_4","",68.85,67,0,760.00,19.77,38.4496,18,0,330.00,12.62,26.1564,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",70.00,21,10,9,4,0,"C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob-AttackHitbox:30;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (13)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",50.25,19,0,143.00,5.83,24.5141,11,0,198.00,9.05,21.8789,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",40.00,7,2,4,1,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;FallDamageArea (4)-:20;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",74.80,48,0,570.00,19.00,29.9998,22,0,423.00,14.50,29.1722,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun};{order:5,from:Shotgun,to:Staff}",50.00,26,9,1,3,0,"C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",63.36,11,0,103.00,5.57,18.5031,7,0,6.00,5.40,1.1111,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,3,1,3,0,"C1SandMecha-MeleeHitbox:20"
"C1_Stage3_1","",31.98,14,0,150.00,6.00,24.9985,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,6,1,4,1,1,"FallDamageArea-:40;C1PistolMob (1)-AttackHitbox:10"
"C1_Stage3_2","",44.27,36,0,370.00,12.42,29.7988,10,0,93.00,5.13,18.1166,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",40.00,11,3,5,1,0,"C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:10;C1TonpaMobPrefab (3)-AttackHitbox:10;C1GrenadierExplosionPrefab(Clone)-C1GrenadierExplosionPrefab(Clone):10"
"C1_Stage3_3","",34.17,44,0,440.00,13.33,32.9996,5,0,33.00,2.63,12.5312,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,9,4,3,3,0,"C1PistolMob-AttackHitbox:10;C1EliteTonpaMob (1)-Rush Attack:10"
