SerialNumber,8aeb2de0f52cbd8e3ec9c2cb25acf72a58591a20
TotalPlayTime,2919.74
TotalDeathCount,12
TotalKilledEnemies,278
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",52.00,49,0,540.00,15.60,34.6149,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",10.00,12,2,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",11.59,10,0,150.00,3.48,43.0614,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,2,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",35.84,56,0,595.00,14.92,39.8881,4,0,63.00,1.70,37.0586,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,14,3,5,4,0,""
"C1_Stage2_4","",102.72,142,0,1900.00,42.60,44.6008,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",50.00,36,3,13,7,1,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab-RangedAttackHitbox:10;C1PistolMob (2)-AttackHitbox:10"
"C1_Stage2_5","",30.07,27,0,293.00,8.40,34.8814,4,0,18.00,1.30,13.8463,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,6,0,2,1,0,"C1EliteTonpaMob-Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",46.41,68,0,921.00,20.68,44.5283,3,0,18.00,1.02,17.7050,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,15,2,0,4,0,"C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",75.19,33,0,563.00,7.62,73.9165,29,0,288.00,14.17,20.3296,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",0.00,12,0,0,4,0,""
"C1_Stage3_1","",19.22,12,0,150.00,4.37,34.3509,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,1,2,1,0,""
"C1_Stage3_2","",33.04,37,0,473.00,12.27,38.5592,5,0,6.00,2.87,2.0930,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",0.00,12,1,3,1,0,""
"C1_Stage3_3","",29.04,42,0,440.00,12.58,34.9671,4,0,33.00,2.02,16.3642,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,9,1,1,2,0,""
