SerialNumber,ae5b1579ba7e8b1d0ec26d661f6574ada654bbd8
TotalPlayTime,6991.83
TotalDeathCount,17
TotalKilledEnemies,333
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",61.23,46,0,550.00,13.53,40.6423,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,8,2,1,3,0,"C1PistolMobForDashTutorial-AttackHitbox:20"
"C1_Stage2_2","",12.50,9,0,150.00,3.30,45.4505,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,2,0,3,0,0,"C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",68.80,68,0,533.00,19.40,27.4737,23,0,129.00,20.58,6.2675,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",70.00,17,7,5,6,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (9)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage2_4","",115.13,100,0,1070.00,31.48,33.9851,28,0,525.00,20.68,25.3812,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",120.00,35,14,12,6,1,"C1PistolMob-AttackHitbox:40;C1TonpaMobPrefab (12)-AttackHitbox:10;C1PistolMob (2)-AttackHitbox:20;C1TonpaMobPrefab (13)-AttackHitbox:20;C1TonpaMobPrefab (16)-AttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_5","",49.05,23,0,230.00,8.35,27.5430,15,0,84.00,15.43,5.4427,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,6,0,2,0,0,"C1GunnerMobPrefab (2)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (19)-AttackHitbox:10"
"C1_Stage2_6","",70.48,79,0,847.00,23.98,35.3168,16,0,81.00,13.65,5.9341,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",60.00,16,5,0,5,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1TonpaMobPrefab-AttackHitbox:10;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage2_7","",79.71,2,0,0.00,0.52,0.0000,25,0,129.00,22.68,5.6872,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",60.00,3,0,1,0,0,"C1SandMecha-MeleeHitbox:30;C1SandMecha (2)-MeleeHitbox:10;C1SandMecha (6)-MeleeHitbox:20"
"C1_Stage3_1","",20.35,12,0,150.00,4.42,33.9673,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,3,0,2,0,0,"C1PistolMob (1)-AttackHitbox:20"
"C1_Stage3_2","",44.58,30,0,360.00,8.98,40.0739,16,0,96.00,11.18,8.5844,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",50.00,11,0,3,2,0,"C1PistolMob (2)-AttackHitbox:20;C1EliteTonpaMob-Rush Attack:30"
"C1_Stage3_3","",35.22,38,0,410.00,12.77,32.1175,11,0,66.00,6.60,9.9999,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",30.00,6,0,0,1,0,"C1PistolMob-AttackHitbox:20;C1EliteTonpaMob (1)-Rush Attack:10"
