SerialNumber,7eb560e4d2a77bf1618bfe79c95e138434e96c4c
TotalPlayTime,7425.21
TotalDeathCount,30
TotalKilledEnemies,360
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",210.07,2,0,0.00,1.28,0.0000,91,0,1095.00,56.70,19.3121,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Shotgun}",160.00,36,26,0,5,2,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:110;C1TonpaMobPrefab (1)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_2","",125.03,15,0,160.00,4.58,34.9097,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,1,0,3,0,0,"C1TonpaMobPrefab-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10"
"C1_Stage2_3","",207.02,68,0,541.00,22.13,24.4428,43,0,117.00,43.35,2.6990,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",100.00,30,30,6,8,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1TonpaMobPrefab (10)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10;C1GunnerMobPrefab-RangedAttackHitbox:20"
"C1_Stage2_4","",303.68,127,0,2180.00,42.78,50.9547,8,0,105.00,6.48,16.1952,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Staff};{order:3,from:Staff,to:Staff};{order:4,from:Staff,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Staff}",320.00,37,31,26,6,5,"C1PistolMob-AttackHitbox:140;C1TonpaMobPrefab (11)-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:90;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1TonpaMobPrefab (16)-AttackHitbox:20;C1TonpaMobPrefab (17)-AttackHitbox:10;C1TonpaMobPrefab (18)-AttackHitbox:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_5","",94.95,92,0,312.00,26.37,11.8330,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,15,13,3,6,0,"C1EliteTonpaMob-Attack:10;C1EliteTonpaMob-Rush Attack:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_6","",112.42,122,0,911.00,34.37,26.5078,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",90.00,18,15,0,7,0,"C1PistolMob-AttackHitbox:20;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1TonpaMobPrefab (7)-AttackHitbox:10;C1TonpaMobPrefab (6)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1EliteTonpaMob-Attack:10"
"C1_Stage2_7","",209.03,16,0,17.00,5.05,3.3661,66,0,334.50,82.50,4.0546,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",170.00,40,3,0,2,0,"C1SandMecha-MeleeHitbox:50;C1SandMecha (1)-MeleeHitbox:40;C1SandMecha (4)-MeleeHitbox:40;C1SandMecha (5)-MeleeHitbox:30;C1SandMecha (6)-MeleeHitbox:10"
"C1_Stage3_1","",102.92,26,0,150.00,10.45,14.3551,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,7,2,21,1,0,"FallDamageArea-:40"
"C1_Stage3_2","",1026.73,102,0,242.00,30.53,7.9261,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,14,4,3,4,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20"
"C1_Stage3_3","",96.28,138,2,672.00,44.43,15.1238,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",110.00,25,10,0,8,1,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMob-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:30;C1EliteTonpaMob (1)-Attack:20;C1EliteTonpaMob (1)-Rush Attack:30"
