SerialNumber,f3ccde5272ffdd386f8a8971f4581c8d0f2fa21b
TotalPlayTime,4472.01
TotalDeathCount,2
TotalKilledEnemies,239
TotalClearedBosses,1

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",115.37,59,0,730.00,19.18,38.0542,15,0,320.00,8.45,37.8703,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff}",110.00,12,7,0,3,1,"C1TonpaMobPrefab (2)-AttackHitbox:20;C1PistolMobForDashTutorial-AttackHitbox:60;C1TonpaMobPrefab-AttackHitbox:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage2_2","",18.67,12,0,150.00,3.73,40.1779,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",30.00,4,2,3,1,0,"FallDamageArea-:20;C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_3","",85.80,0,0,0.00,0.00,NaN,54,0,747.00,49.35,15.1368,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",60.00,14,12,5,5,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1PistolMob (1)-AttackHitbox:10;C1TonpaMobPrefab (8)-AttackHitbox:10;C1EliteTonpaMob-Rush Attack:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",68.92,66,0,910.00,22.13,41.1146,5,0,165.00,3.00,54.9989,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff}",20.00,20,11,8,3,0,"C1PistolMob (2)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",65.07,18,0,96.00,5.67,16.9417,23,0,249.00,20.97,11.8761,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",40.00,7,5,2,1,0,"C1TonpaMobPrefab-AttackHitbox:10;C1PistolMob-AttackHitbox:20;C1TonpaMobPrefab (20)-AttackHitbox:10"
"C1_Stage2_6","",89.38,20,0,180.00,5.00,36.0009,53,0,849.00,48.18,17.6202,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",20.00,25,15,0,5,0,"C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_7","",60.52,0,0,0.00,0.00,NaN,16,0,111.00,14.50,7.6552,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,2,0,1,0,""
"C1_Stage3_1","",22.53,14,0,160.00,5.27,30.3801,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,6,2,2,1,0,""
"C1_Stage3_2","",50.65,22,0,360.00,7.37,48.8686,17,0,111.00,15.37,7.2234,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun}",0.00,10,7,2,5,0,""
"C1_Stage3_3","",59.40,0,0,0.00,0.00,NaN,43,0,534.00,38.48,13.8761,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,24,8,0,8,0,"C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage3_4","",1522.98,0,0,0.00,0.00,NaN,0,0,0.00,0.45,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,0,1,0,0,""
"C1_Stage3_5","",159.25,4,0,50.00,1.98,25.2124,113,0,912.00,100.32,9.0913,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun}",80.00,30,19,3,10,0,"C1SandMecha-MeleeHitbox:40;C1SandMecha-DashAttackHitbox:10;C1EliteTonpaMob-Rush Attack:20;C1GunnerMobPrefab-RangedAttackHitbox:10"
"C1_Stage3_6","",132.45,13,0,120.00,11.48,10.4497,43,0,414.00,35.83,11.5535,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Shotgun,to:Staff};{order:2,from:Staff,to:Shotgun};{order:3,from:Shotgun,to:Staff};{order:4,from:Staff,to:Shotgun}",20.00,23,3,11,0,0,"C1SandMecha-MeleeHitbox:20"
