SerialNumber,fb558757f4042db898ef795b7bf43a65c17adbe8
TotalPlayTime,2495.29
TotalDeathCount,7
TotalKilledEnemies,281
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",58.37,47,1,540.00,14.50,37.2415,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,4,1,1,2,0,"C1TonpaMobPrefab (2)-AttackHitbox:10;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMobForDashTutorial-AttackHitbox:10"
"C1_Stage2_2","",9.44,12,0,150.00,2.65,56.6020,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,1,1,2,1,0,""
"C1_Stage2_3","",37.42,46,1,641.00,12.38,51.7630,5,0,48.00,1.93,24.8282,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,3,3,6,3,0,"C1PistolMobForDashTutorial-AttackHitbox:10;C1TonpaMobPrefab (5)-AttackHitbox:10;C1PistolMob (1)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10"
"C1_Stage2_4","",58.96,91,1,1050.00,22.52,46.6319,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",70.00,10,5,7,6,0,"C1TonpaMobPrefab (11)-AttackHitbox:10;C1GunnerMobPrefab (1)-RangedAttackHitbox:10;C1GunnerMobPrefab-RangedAttackHitbox:10;C1TonpaMobPrefab (14)-AttackHitbox:10;C1TonpaMobPrefab (1)-AttackHitbox:10;C1PistolMob-AttackHitbox:20"
"C1_Stage2_5","",29.56,24,0,280.00,6.35,44.0947,5,0,33.00,1.93,17.0694,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,3,2,2,2,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage2_6","",51.33,68,0,903.00,17.08,52.8588,5,1,25.44,3.50,7.2679,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,7,2,0,3,0,"C1PistolMob-AttackHitbox:10;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_7","",47.86,8,0,100.00,3.22,31.0880,5,0,6.00,2.13,2.8125,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",10.00,2,0,2,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",19.19,14,0,150.00,4.35,34.4834,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,4,1,2,1,0,"C1TonpaMobPrefab-AttackHitbox:10"
"C1_Stage3_2","",33.49,21,0,390.00,6.45,60.4650,10,0,78.00,5.70,13.6840,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",20.00,6,3,2,3,0,"FallDamageArea (1)-:20"
"C1_Stage3_3","",29.29,36,0,380.00,9.60,39.5834,5,1,167.38,4.37,38.3304,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,3,1,0,2,0,""
"C1_Stage3_4","",55.46,1,0,0.00,0.47,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,0,0,0,0,0,""
"C1_Stage3_5","",57.28,54,0,708.00,17.13,41.3229,21,0,240.00,10.08,23.8017,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff};{order:5,from:Staff,to:Shotgun};{order:6,from:Shotgun,to:Staff};{order:7,from:Staff,to:Shotgun};{order:8,from:Shotgun,to:Staff}",10.00,7,2,1,1,0,"C1PistolMob (5)-AttackHitbox:10"
"C1_Stage3_6","",71.24,42,0,473.00,11.83,39.9705,10,0,42.00,5.22,8.0511,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",20.00,5,0,3,2,0,"C1EliteTonpaMob (1)-Attack:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_7","",96.08,58,2,0.00,19.88,0.0000,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",20.00,8,1,1,4,0,"C1MidBoss-KickKick 1:10;C1MidBoss-KickKick 2:10"
"C1_Boss_1","",41.02,12,0,100.00,3.67,27.2730,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",10.00,0,0,2,0,0,"C1TonpaMobPrefab B-AttackHitbox:10"
