SerialNumber,f3ccde5272ffdd386f8a8971f4581c8d0f2fa21b
TotalPlayTime,3060.91
TotalDeathCount,5
TotalKilledEnemies,255
TotalClearedBosses,2

SegmentNumber,EquippedModules,PlayTime,Staff_AttackCount,Staff_SpecialAttackCount,Staff_TotalDamage,Staff_Time,Staff_DPS,Shotgun_AttackCount,Shotgun_SpecialAttackCount,Shotgun_TotalDamage,Shotgun_Time,Shotgun_DPS,Hammer_AttackCount,Hammer_SpecialAttackCount,Hammer_TotalDamage,Hammer_Time,Hammer_DPS,Sword_AttackCount,Sword_SpecialAttackCount,Sword_TotalDamage,Sword_Time,Sword_DPS,Spear_AttackCount,Spear_SpecialAttackCount,Spear_TotalDamage,Spear_Time,Spear_DPS,WeaponSwitches,DamageReceivedByEnemy,DashCount,SlideDashCount,JumpCount,DodgeCount,DeathCount,EnemyPatternHitLogs
"C1_Stage2_1","",48.45,35,0,530.00,12.27,43.2102,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",30.00,12,3,0,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (2)-AttackHitbox:10"
"C1_Stage2_2","",9.52,9,0,150.00,3.95,37.9775,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,3,0,2,0,0,""
"C1_Stage2_3","",45.10,41,0,610.00,14.03,43.4653,5,0,33.00,1.67,19.7961,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",30.00,13,3,5,2,0,"C1PistolMobForDashTutorial-AttackHitbox:20;C1TonpaMobPrefab (5)-AttackHitbox:10"
"C1_Stage2_4","",57.17,85,0,1040.00,28.65,36.2997,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",40.00,27,4,7,3,0,"C1GunnerMobPrefab-RangedAttackHitbox:20;C1TonpaMobPrefab (4)-AttackHitbox:10;C1PistolMob-AttackHitbox:10"
"C1_Stage2_5","",28.53,19,0,280.00,7.14,39.2418,4,0,33.00,2.13,15.4690,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",0.00,7,1,2,1,0,""
"C1_Stage2_6","",54.33,57,0,902.00,23.18,38.9052,5,0,33.00,2.23,14.7757,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",50.00,19,3,0,0,0,"C1PistolMob-AttackHitbox:30;C1GunnerMobPrefab (3)-RangedAttackHitbox:10;C1EliteTonpaMob-Rush Attack:10"
"C1_Stage2_7","",55.20,8,0,100.00,4.10,24.3839,5,0,6.00,3.88,1.5451,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun}",10.00,9,0,1,0,0,"C1SandMecha-MeleeHitbox:10"
"C1_Stage3_1","",19.65,12,0,150.00,4.63,32.3743,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"",0.00,5,1,2,1,0,""
"C1_Stage3_2","",34.53,31,0,420.00,11.95,35.1459,6,0,33.00,3.63,9.0839,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff};{order:3,from:Staff,to:Shotgun};{order:4,from:Shotgun,to:Staff}",10.00,14,3,2,2,0,"C1EliteTonpaMob-Rush Attack:10"
"C1_Stage3_3","",29.77,39,0,450.00,14.43,31.1762,4,0,33.00,1.72,19.2273,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,0,0,0.00,0.00,NaN,"{order:1,from:Staff,to:Shotgun};{order:2,from:Shotgun,to:Staff}",40.00,12,0,1,1,0,"C1PistolMob-AttackHitbox:30;C1EliteTonpaMob (1)-Rush Attack:10"
